prompt,response
"The molecule is a hydroxycoumarin that is 2H,8H-benzo[1,2-b:5,4-b']dipyran-2-one substituted by a hydroxy group at position 4, a methoxy group at position 5, 4-methoxyphenyl group at position 3 and two methyl groups at position 8 respectively. It has a role as a plant metabolite and an antiprotozoal drug. It is a hydroxycoumarin and a monomethoxybenzene.",[C][O][C][=C][C][=C][Branch2][Ring2][P][C][=C][Branch1][C][O][C][=C][Branch1][Ring1][O][C][C][=C][Branch2][Ring1][Ring2][C][Branch1][Branch2][C][C][=C][Branch1][C][C][C][=C][Ring1][=N][O][C][Ring2][Ring1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][=C][Ring2][Ring1][C][C][=C][Ring2][Ring1][#C]
"The molecule is an anilide resulting from the formal condensation of the aryl amino group of 4-(methoxymethyl)-N-phenyl-1-[2-(2-thienyl)ethyl]piperidin-4-amine with propanoic acid. It has a role as an opioid analgesic, a mu-opioid receptor agonist, an anaesthesia adjuvant and an intravenous anaesthetic. It is a member of piperidines, a member of thiophenes, an anilide and an ether.",[C][C][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][Ring2][C][O][C][C][C][N][Branch1][#Branch2][C][C][C][=C][C][=C][S][Ring1][Branch1][C][C][Ring1][S]
"The molecule is an organic heteropentacyclic compound that is 6H-furo[3,2-c]xanthen-6-one substituted by hydroxy groups at positions 7 and 10 and a 2-methylbut-3-en-2-yl group at position 8. Isolated from the woods of Garcinia subelliptica, it exhibits antioxidant activity. It has a role as a metabolite and an antioxidant. It is a cyclic ether, a cyclic ketone, an organic heterotetracyclic compound and a polyphenol.",[C][=C][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch1][C][O][=C][O][C][=C][Branch1][N][C][=C][C][C][=C][O][C][=Ring1][Branch1][Ring1][=Branch2][C][=Branch1][C][=O][C][Ring1][=C][=C][Ring2][Ring1][Ring1][O]
"The molecule is an amino trisaccharide consisting of alpha-L-fucopyranose, 2-acetamido-2-deoxy-beta-D-glucopyranose and 2-acetamido-2-deoxy-D-galactopyranose residues joined in sequence by (1->3) and (1->6) glycosidic bonds. It is an amino trisaccharide, a member of acetamides and a glucosamine oligosaccharide. It derives from a beta-D-GlcpNAc-(1->6)-D-GalpNAc and an alpha-L-Fucp-(1->3)-beta-D-GlcpNAc.",[C][C][Branch1][C][O][=N][C@H1][C@H1][Branch2][Ring1][#Branch2][O][C][C@H1][O][C][Branch1][C][O][C@H1][Branch1][#Branch1][N][=C][Branch1][C][C][O][C@@H1][Branch1][C][O][C@H1][Ring1][N][O][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring2][Ring1][Branch2][O][C@@H1][O][C@@H1][Branch1][C][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O]
"The molecule is an organosulfonate oxoanion resulting from the removal of a proton from both of the sulfo groups of 7-hydroxy-8-[(naphthalen-1-yl)diazenyl]naphthalene-1,3-disulfonic acid. It is a conjugate base of a 7-hydroxy-8-[(naphthalen-1-yl)diazenyl]naphthalene-1,3-disulfonic acid.",[O][=S][=Branch1][C][=O][Branch1][C][O-1][C][=C][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][=C][C][Branch1][P][N][=N][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][=C][Branch1][C][O-1][C][=C][C][Ring2][Ring1][Ring1][=C][Ring2][Ring1][O]
"The molecule is a monocarboxylic acid amide that is piroxicam in which the pyrid-2-yl group is replaced by a 5-methyl-1,2-oxazol-3-yl group. A non-steroidal anti-inflammatory drug, it was withdrawn from the market in the 1980s following its association with cases of Stevens-Johnson syndrome. It has a role as a non-steroidal anti-inflammatory drug and an antirheumatic drug. It is a benzothiazine, a member of isoxazoles and a monocarboxylic acid amide.",[C][C][=C][C][=Branch2][Ring1][=C][=N][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][Ring1][=N][C][NH1][O][Ring2][Ring1][=Branch1]
"The molecule is a 4'-methoxyisoflavone that is formononetin attached to a beta-D-glucopyranosyl moiety at position 7 via a glycosidic linkage. It has a role as a plant metabolite. It is a monosaccharide derivative, a member of 4'-methoxyisoflavones and a 7-hydroxyisoflavones 7-O-beta-D-glucoside. It derives from a formononetin.",[C][O][C][=C][C][=C][Branch2][Ring2][=Branch2][C][=C][O][C][=C][C][Branch2][Ring1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][=C][C][=C][Ring2][Ring1][C][C][Ring2][Ring1][=Branch1][=O][C][=C][Ring2][Ring1][=N]
"The molecule is a steroid glucosiduronic acid that is 2-hydroxy-17beta-estradiol having a single beta-D-glucuronic acid residue attached at position 2. It is a beta-D-glucosiduronic acid, a 17beta-hydroxy steroid, a steroid glucosiduronic acid and a 3-hydroxy steroid. It derives from a 2-hydroxy-17beta-estradiol. It is a conjugate acid of a 2-hydroxy-17beta-estradiol 2-O-(beta-D-glucuronide)(1-).",[C][C@][C][C][C@@H1][C][=C][C][Branch2][Ring1][Branch2][O][C@@H1][O][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][O][O][=C][Branch1][C][O][C][=C][Ring2][Ring1][Ring2][C][C][C@H1][Ring2][Ring1][Branch2][C@@H1][Ring2][Ring1][N][C][C][C@@H1][Ring2][Ring1][#C][O]
The molecule is a galactoglycerolipid that consists of 3-(3-O-sulfo-beta-D-galactosyl)-sn-glycerol in which the glycerol portion is alkylated at position 1 by a pentyl group.,[C][C][C][C][C][O][C][C@@H1][Branch1][C][O][C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][O][S][=Branch1][C][=O][=Branch1][C][=O][O][C@H1][Ring1][=C][O]
"The molecule is a myo-inositol hexakisphosphate in which each hydroxy group of myo-inositol is monophosphorylated. It has a role as an iron chelator, an antineoplastic agent, a signalling molecule, an Escherichia coli metabolite, a mouse metabolite and a cofactor. It is a conjugate acid of a myo-inositol hexakisphosphate(12-).",[O][=P][Branch1][C][O][Branch1][C][O][O][C][C][Branch1][#Branch2][O][P][=Branch1][C][=O][Branch1][C][O][O][C][Branch1][#Branch2][O][P][=Branch1][C][=O][Branch1][C][O][O][C][Branch1][#Branch2][O][P][=Branch1][C][=O][Branch1][C][O][O][C][Branch1][#Branch2][O][P][=Branch1][C][=O][Branch1][C][O][O][C][Ring2][Ring1][#Branch2][O][P][=Branch1][C][=O][Branch1][C][O][O]
"The molecule is an organophosphate oxoanion obtained by deprotonation of the carboxy and phosphate OH groups of pyridinium-3,5-bisthiocarboxylic acid mononucleotide; major species at pH 7.3. It is an organophosphate oxoanion and an organic sulfur anion. It is a conjugate base of a pyridinium-3,5-bisthiocarboxylic acid mononucleotide.",[O][=C][Branch1][C][S-1][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][S-1][=C][N+1][Branch2][Ring1][Branch2][C@@H1][O][C@H1][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O-1][C@@H1][Branch1][C][O][C@H1][Ring1][N][O][=C][Ring2][Ring1][=Branch1]
"The molecule is an S-substituted glutathione(1-) obtained by deprotonation of the the two carboxy groups and protonation of the glutamyl amino group of S-(2,4-dinitrophenyl)glutathione. Major microspecies at pH 7.3. It derives from a glutathionate(1-). It is a conjugate base of a S-(2,4-dinitrophenyl)glutathione.",[N][C@@H1][Branch2][Ring2][=N][C][C][C][Branch1][C][O-1][=N][C@@H1][Branch2][Ring1][#Branch1][C][S][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][N+1][=Branch1][C][=O][O-1][C][Branch1][C][O][=N][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O]
The molecule is a cyclitol phosphate that is validamine carrying a single monophosphate substituent at position 7. It is an amino cyclitol and a cyclitol phosphate. It derives from a validamine. It is a conjugate acid of a validamine 7-phosphate(1-).,[N][C@H1][C][C@H1][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][=C][O]
"The molecule is a member of the class of dioxolanes that is 1,3-dioxolane substituted at position 2 by a 4-bromo-6,6,6-trichloro-2-methyl-2-hexanyl group. It is a dioxolane, a cyclic acetal, an organobromine compound and an organochlorine compound. It derives from a hydride of a 1,3-dioxolane.",[C][C][Branch1][C][C][Branch1][#C][C][C][Branch1][C][Br][C][C][Branch1][C][Cl][Branch1][C][Cl][Cl][C][O][C][C][O][Ring1][Branch1]
"The molecule is a secondary carboxamide resulting from the formal condensation of the amino group of (1R,2R)-2-amino-1-(4-aminophenyl)propane-1,3-diol with the carboxy group of dichloroacetic acid. It is an intermediate used in the biosynthesis pathway of the antibiotic, chloramphenicol. It has a role as a prodrug. It is a secondary carboxamide, a diol, a substituted aniline and an organochlorine compound.",[N][C][=C][C][=C][Branch2][Ring1][Ring2][C@@H1][Branch1][C][O][C@@H1][Branch1][Ring1][C][O][N][=C][Branch1][C][O][C][Branch1][C][Cl][Cl][C][=C][Ring1][P]
The molecule is a beta-D-glucoside that is the 2-aminoethyl glycoside of a disaccharide consisting of beta-D-glucuronosyl and beta-D-glucosyl residues linked (1->4). It is a beta-D-glucoside and a disaccharide derivative.,[N][C][C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][Ring1][Branch2][O][C@@H1][O][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][O][O][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][=Branch1][O]
The molecule is an organic cation obtained by protonation of the secondary amino function of levobunolol. It is an ammonium ion derivative and an organic cation. It is a conjugate base of a levobunolol.,[C][C][Branch1][C][C][Branch1][C][C][NH2+1][C][C@H1][Branch1][C][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][Ring1][=Branch1][=O]
"The molecule is a monocarboxylic acid that is oxoacetic acid substituted by a (ethoxymethyl)(2-ethyl-6-methylphenyl)amino group at position 2. It is a metabolite of acetochlor. It has a role as a marine xenobiotic metabolite. It is an aromatic amide, an ether and a monocarboxylic acid.",[C][C][O][C][N][Branch1][#Branch2][C][=Branch1][C][=O][C][=Branch1][C][=O][O][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C][C]
"The molecule is a member of the class of benzimidazoles that is 1H-benzimidazole which is substituted at positons 2 and 5 by (methoxycarbonyl)amino and phenylsulfanediyl groups, respectively. A broad-spectrum anthelmintic, it is used, particularly in veterinary medicine, for the treatment of nematodal infections. It has a role as an antinematodal drug. It is a member of benzimidazoles, a carbamate ester and an aryl sulfide.",[C][O][C][Branch1][C][O][=N][C][=N][C][=C][C][=C][Branch1][#Branch2][S][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=N][NH1][Ring1][S]
"The molecule is a sesquiterpene that is cedrane which has a double bond between positions 8 and 9. It has a role as a metabolite. It is a sesquiterpene, a bridged compound and a polycyclic olefin. It derives from a hydride of a cedrane.",[C][C][=C][C][C@@][C][C@@H1][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C@@H1][Ring1][#Branch1][C][C][C@H1][Ring1][#Branch2][C]
The molecule is an ortho- and peri-fused polycyclic arene consisting of five fused benzene rings. It is listed as a Group 3 carcinogen by the IARC. It has a role as a mutagen and a carcinogenic agent.,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#C][C][Ring1][=Branch1][=C][Ring1][#Branch2][Ring1][=C]
"The molecule is a purine 2'-deoxyribonucleoside that is inosine in which the hydroxy group at position 2' is replaced by a hydrogen. It has a role as a Saccharomyces cerevisiae metabolite, a human metabolite, a plant metabolite, an Escherichia coli metabolite and a mouse metabolite. It is a purines 2'-deoxy-D-ribonucleoside and a purine 2'-deoxyribonucleoside. It derives from an inosine.",[O][C][C@H1][O][C@@H1][Branch1][P][N][C][=N][C][=C][Branch1][C][O][N][=C][N][=C][Ring1][#Branch1][Ring1][#Branch2][C][C@@H1][Ring1][#C][O]
The molecule is an ammonium ion resulting from the protonation of the tertiary amino group of ketotifen. It is a conjugate acid of a ketotifen.,[C][NH1+1][C][C][C][=Branch2][Ring1][Branch2][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][C][S][C][=C][C][=Ring1][Branch1][Ring1][#C][C][C][Ring2][Ring1][Branch1]
The molecule is a dipeptide consisting of beta-alanine and L-lysine units joined by a peptide linkage. It is a tautomer of a beta-alanyl-L-lysine zwitterion.,[N][C][C][C][C][C@H1][Branch1][=Branch2][N][=C][Branch1][C][O][C][C][N][C][=Branch1][C][=O][O]
"The molecule is a tripeptide composed of L-aspartic acid, L-glutamine and L-arginine joined in sequence by peptide linkages. It has a role as a metabolite. It derives from a L-aspartic acid, a L-glutamine and a L-arginine.",[N][=C][Branch1][C][O][C][C][C@H1][Branch1][S][N][=C][Branch1][C][O][C@@H1][Branch1][C][N][C][C][=Branch1][C][=O][O][C][Branch1][C][O][=N][C@@H1][Branch1][#Branch2][C][C][C][N][C][=Branch1][C][=N][N][C][=Branch1][C][=O][O]
"The molecule is the (R)-enantiomer of 2,6-dimethylheptyl sulfate. It has been isolated from Daphnia pulex. It is a conjugate base of a (2R)-2,6-dimethylheptyl hydrogen sulfate. It is an enantiomer of a (2S)-2,6-dimethylheptyl sulfate.",[C][C][Branch1][C][C][C][C][C][C@@H1][Branch1][C][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1]
"The molecule is the L-enantiomer of threonic acid. It has a role as a plant metabolite, a Daphnia magna metabolite and an algal metabolite. It is a conjugate acid of a L-threonate. It is an enantiomer of a D-threonic acid.",[O][=C][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C][O]
"The molecule is an S-substituted glutathione that is glutathione in which the mercapto hydrogen has been replaced by a chloromethyl group. It has a role as an alkylating agent, a bacterial xenobiotic metabolite and a mouse metabolite. It is an organochlorine compound and a S-substituted glutathione. It is a conjugate acid of a S-(chloromethyl)glutathione(1-).",[N][C@@H1][Branch2][Ring1][#Branch2][C][C][C][Branch1][C][O][=N][C@@H1][Branch1][Branch1][C][S][C][Cl][C][Branch1][C][O][=N][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O]
