prompt,gt_smiles,ring_count,gt_branches,ring_bin,branch_bin,stratum,morgan_sim
"The molecule is a tetracyclic triterpenoid that is dammar-20-ene substituted by hydroxy groups at positions 24 and 25 and an oxo group at position 3. It has been isolated from the stems of Aglaia abbreviata. It has a role as a plant metabolite. It is a diol, a tetracyclic triterpenoid and a cyclic terpene ketone. It derives from a hydride of a dammarane.",C=C(CCC(O)C(C)(C)O)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@]3(C)CCC(=O)C(C)(C)[C@@H]3CC[C@]12C,4,9,3+,3+,3+r/3+b (hardest),0.125
"The molecule is dianon of 3,5-dibromo-4-hydroxybenzoic acid arising from deprotonation of both the carboxy and phenolic functions. It is a monocarboxylic acid anion and a phenolate anion. It is a conjugate base of a 3,5-dibromo-4-hydroxybenzoic acid.",O=C([O-])c1cc(Br)c([O-])c(Br)c1,1,4,1-2,3+,1-2r/3+b,0.303
The molecule is a dicarboxylic acid dianion arising from deprotonation of both carboxy groups of 4-carboxy-2-hydroxymuconate semialdehyde hemiacetal; major species at pH 7.3. It is a conjugate base of a 4-carboxy-2-hydroxymuconate semialdehyde hemiacetal.,O=C([O-])C1=CC(O)OC(C(=O)[O-])=C1,1,4,1-2,3+,1-2r/3+b,0.125
"The molecule is a nucleobase analogue that is uracil substituted with a (2-hydroxyethyl)amino group at position 6 and an (E)-(2-oxopropylidene)amino group at position 5; one of 20 modifications to the potent microbial riboflavin-based metabolite antigen 5-(2-oxopropylideneamino)-6-D-ribityl aminouracil (5-OP-RU), an activator of mucosal-associated invariant T (MAIT) cells when presented by the MR1 protein (reported in MED:32123373). It has a role as an epitope. It is a pyrimidone and a nucleobase analogue. It derives from a uracil.",CC(=O)C=Nc1c(O)nc(O)nc1NCCO,1,3,1-2,3+,1-2r/3+b,0.1477
"The molecule is an S-substituted glutathione(1-) obtained by deprotonation of the the two carboxy groups and protonation of the amino group of 2-(glutathion-S-yl)hydroquinone; major species at pH 7.3. It is a conjugate base of a 2-(glutathion-S-yl)-1,4-hydroquinone.",N[C@@H](CCC(O)=N[C@@H](CSc1cc([O-])ccc1O)C(O)=NCC(=O)O)C(=O)O,1,7,1-2,3+,1-2r/3+b,0.3788
The molecule is a monocarboxylic acid anion that is the conjugate base of mupirocin obtained by the deprotonation of the carboxy group; major microspecies at pH 7.3. It is a conjugate base of a mupirocin.,C/C(=C\C(=O)OCCCCCCCCC(=O)[O-])C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,2,7,1-2,3+,1-2r/3+b,0.1759
"The molecule is an O-sulfoamino acid and an aryl sulfate. It has a role as a human metabolite. It derives from a 3,3',5-triiodo-L-thyronine.",N[C@@H](Cc1cc(I)c(Oc2ccc(OS(=O)(=O)O)c(I)c2)c(I)c1)C(=O)O,2,9,1-2,3+,1-2r/3+b,0.1781
"The molecule is trianion of 2-(carboxymethyl)-5-oxo-2,5-dihydro-3-furoic acid arising from deprotonation of the two carboxy groups as well as removal of the acidic proton at C2; major species at pH 7.3. It is a conjugate base of a 2-(carboxymethyl)-5-oxo-2,5-dihydro-3-furoic acid.",O=C([O-])Cc1oc([O-])cc1C(=O)[O-],1,3,1-2,3+,1-2r/3+b,0.1282
"The molecule is a member of the class of thioureas that is 3,4-dihydropyrimidine-2(1H)-thione substituted by a 3-methoxyphenyl group at position 4, a methyl group at position 6 and a ethoxycarbonyl group at position 5. It is a pyrimidinecarboxylate ester, an aromatic ether, a member of thioureas and an ethyl ester.",CCOC(=O)C1=C(C)N=C(S)NC1c1cccc(OC)c1,2,4,1-2,3+,1-2r/3+b,0.1149
The molecule is a 2-acylphloroglucinol in which the acyl group is specified as hexanoyl. It is the intermediate biosynthetic precursor for differentiation-inducing factor 1 (DIF-1). It has a role as a plant metabolite.,CCCCCC(=O)c1c(O)cc(O)cc1O,1,3,1-2,3+,1-2r/3+b,0.2576
The molecule is l-Cysteine substituted at nitrogen by an acetyl group and at sulfur by a substituted-lactam carbonyl group. It is a lactam and a S-substituted L-cysteine.,CC(O)=N[C@@H](CSC(=O)[C@]1([C@@H](O)C(C)C)N=C(O)[C@H](C)[C@@H]1O)C(=O)O,1,9,1-2,3+,1-2r/3+b,0.2632
The molecule is an ammonium ion resulting from the protonation of the tertiary amino group of ketotifen. It is a conjugate acid of a ketotifen.,C[NH+]1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,4,2,3+,1-2,3+r/1-2b,0.1333
"The molecule is a sesquiterpenoid that is bisabola-2,10-diene substituted by a peroxy group between positions 2 and 10 (the 1S,4R,6R stereoisomer). Isolated from Artemisia stolonifera and Eupatorium rufescens, it exhibits antineoplastic and antiplasmodial activity. It has a role as a metabolite, an antineoplastic agent and an antiplasmodial drug. It is an organic peroxide and a sesquiterpenoid. It derives from a hydride of a bisabolane.",CC(C)=CCC[C@H](C)[C@H]1C[C@H]2OO[C@@H]1C=C2C,3,2,3+,1-2,3+r/1-2b,0.129
"The molecule is an N-(1-benzylpyrrolidin-3-yl)-5,6-dimethylthieno[2,3-d]pyrimidin-4-amine in which the chiral centre has R configuration. Both enantiomers act as fatty acid synthase inhibitors, although the (S)-enantiomer was found to be more than 4 times as active as the (R)-enantiomer. It has a role as a fatty acid synthesis inhibitor and an EC 2.3.1.85 (fatty acid synthase) inhibitor. It is an enantiomer of a (S)-Fasnall.",Cc1sc2ncnc(N[C@@H]3CCN(Cc4ccccc4)C3)c2c1C,4,2,3+,1-2,3+r/1-2b,0.1196
The molecule is a member of the class of ptercoarpans that is cis-pterocarpan substituted by a hydroxy group at position 3 and a methylenedioxy group across positions 8 and 9. It is a member of pterocarpans and a member of phenols.,Oc1ccc2c(c1)OCC1c3cc4c(cc3OC21)OCO4,5,2,3+,1-2,3+r/1-2b,0.209
"The molecule is an azaarene that is benzo[c]cinnoline with methoxy substituents at positions 1 and 10. It is isolated from Streptomyces sp. strain 4849 with pharmaceutical potential as an inhibitor of interleukin-4 receptor (IL-4). It has a role as a metabolite and an antimicrobial agent. It is an azaarene, an aromatic ether and an organic heterotricyclic compound.",COc1cccc2nnc3cccc(OC)c3c12,3,1,3+,1-2,3+r/1-2b,0.1475
The molecule is a dipeptide consisting of beta-alanine and L-lysine units joined by a peptide linkage. It is a tautomer of a beta-alanyl-L-lysine zwitterion.,NCCCC[C@H](N=C(O)CCN)C(=O)O,0,3,0,3+,0r/3+b (CONTROL),0.2857
"The molecule is a member of the class of chloroethanes that is ethane in which five of the six hydrogens are replaced by chlorines. A non-flammable, high-boiling liquid (b.p. 161-162℃) with relative density 1.67 and an odour resembling that of chloroform, it is used as a solvent for oil and grease, in metal cleaning, and in the separation of coal from impurities. It has a role as a non-polar solvent.",ClC(Cl)C(Cl)(Cl)Cl,0,3,0,3+,0r/3+b (CONTROL),0.1667
The molecule is a quaternary ammonium ion where three methyl groups and one 2-phosphoethyl group are attached to the nitrogen. It has a role as a mouse metabolite. It derives from a phosphonic acid.,C[N+](C)(C)CCP(=O)(O)O,0,4,0,3+,0r/3+b (CONTROL),0.303
The molecule is a citronellic acid that has (S)-configuration. It is a conjugate acid of a (S)-citronellate. It is an enantiomer of a (R)-citronellic acid.,CC(C)=CCC[C@H](C)CC(=O)O,0,3,0,3+,0r/3+b (CONTROL),0.2353
"The molecule is a nitroso compound that is triazane in which the nitrogen at position 1 is substituted by an isopropyl group and a 3-aminopropyl group, that at position 2 is substituted by a hydroxy group, and that at position 3 is substituted by an oxo group. It is a nitric oxide donor. It has a role as a nitric oxide donor. It is a nitroso compound, a tertiary amino compound and a primary amino compound.",CC(C)N(CCCN)/[N+]([O-])=N/O,0,3,0,3+,0r/3+b (CONTROL),0.1125
