prompt,response
"The molecule is a pyrrolopyrimidine that is 7-methyl-7H-pyrrolo[2,3-d]pyrimidin-4-amine which has been substituted at position 5 by a 4-fluoro-2,3-dihydro-1H-indol-5-yl group, the nitrogen of which has been acylated by a (6-methylpyridin-2-yl)acetyl group. An orally bioavailable PERK inhibitor. It has a role as an EC 3.1.3.48 (protein-tyrosine-phosphatase) inhibitor, a PERK inhibitor and an antineoplastic agent. It is a pyrrolopyrimidine, a biaryl, a member of indoles, a member of methylpyridines, an organofluorine compound and a tertiary carboxamide.",[C][C][=C][C][=C][C][Branch2][Ring2][#Branch2][C][C][=Branch1][C][=O][N][C][C][C][=C][Ring1][Branch1][C][=C][C][Branch2][Ring1][Ring2][C][=C][N][Branch1][C][C][C][=N][C][=N][C][Branch1][C][N][=C][Ring1][O][Ring1][#Branch1][=C][Ring1][P][F][=N][Ring2][Ring1][=C]
"The molecule is a pyrrolizidine alkaloid isolated from the plant species of the genus Senecio. It has a role as a plant metabolite. It is a lactone, a pyrrolizidine alkaloid and a tertiary alcohol. It derives from a senecionan. It is a conjugate base of a senecionine(1+).",[C][/C][=C][/C][C@@H1][Branch1][C][C][C@@][Branch1][C][C][Branch1][C][O][C][=Branch1][C][=O][O][C][C][=C][C][N][C][C][C@@H1][Branch1][#Branch1][O][C][Ring2][Ring1][Ring2][=O][C@@H1][Ring1][O][Ring1][Branch2]
"The molecule is the malonate ester of a labdane diterpenoid. Isolated from the aerial parts of Stemodia foliosa, it exhibits antibacterial activity. It has a role as a metabolite and an antibacterial agent. It is a labdane diterpenoid, a cyclic ether and a malonate ester.",[C][=C][C@@][Branch1][C][C][C][C][C@@H1][C@@][Branch1][C][C][C][C][C][C][Branch1][C][C][Branch1][C][C][C@@H1][Ring1][=Branch2][C@@H1][Branch1][N][O][C][=Branch1][C][=O][C][C][=Branch1][C][=O][O][C][C@@][Ring2][Ring1][Ring2][Branch1][C][C][O][Ring2][Ring1][#Branch2]
The molecule is a ribonucleoside 5'-monophosphate that is wyosine 5'-monophosphate substituted at position 7 by a 3-amino-3-carboxypropyl group. It derives from a guanosine. It is a tautomer of a 7-(3-amino-3-carboxypropyl)wyosine 5'-monophosphate zwitterion.,[C][C][N][=C][N][Branch1][C][C][C][=C][Branch2][Ring1][=N][N][=C][N][Ring1][Branch1][C@@H1][O][C@H1][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][C@@H1][Branch1][C][O][C@H1][Ring1][N][O][C][=Branch1][C][=O][N][Ring2][Ring1][Branch2][C][=Ring2][Ring1][O][C][C][C@H1][Branch1][C][N][C][=Branch1][C][=O][O]
"The molecule is a member of the class of ergot alkaloids that is known to act on serotonin and dopamine receptors. It has a role as an antiparkinson drug, a dopamine agonist and a serotonergic antagonist. It is an ergot alkaloid and a member of sulfamides. It derives from a hydride of an ergoline.",[C][N][C][C@@H1][Branch1][=C][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][C][C][C@@H1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][=Branch1][=C][N][Ring1][Branch1][C][C][C@H1][Ring1][=N][Ring2][Ring1][Branch2]
"The molecule is a cytochalasan alkaloid found in Chaetomium globosum. It has a role as a Chaetomium metabolite. It is a cytochalasan alkaloid, a member of indoles and a macrocycle.",[C][C][=C][Branch1][C][O][C][=Branch1][C][=O][C@H1][C][C][=Branch1][C][=O][C@@][C][Branch1][C][O][=N][C@@H1][Branch1][#C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C@@H1][Ring1][S][C][Branch1][C][C][=C][Branch1][C][C][C@@H1][Branch1][C][O][C@@H1][Ring2][Ring1][#Branch1][/C][=C][/C][C@H1][Branch1][C][C][C@H1][Ring2][Ring2][=Branch1][Ring2][Ring1][P]
"The molecule is an indole alkaloid isolated from Tabernaemontana corymbosa, and has been shown to exhibit cytotoxicity against human KB cells. It has a role as a metabolite and an antineoplastic agent. It is an alkaloid ester, an aromatic ether, an indole alkaloid, a member of phenols, a methyl ester and an organic heterohexacyclic compound.",[C][O][C][=Branch1][C][=O][C][=C][N][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][C][O][C][=C][Ring1][=Branch2][C@@][Ring1][N][C][C][N][C][C][C@@H1][O][C][C][C@][Ring1][Branch1][Branch1][Branch1][C][Ring2][Ring1][Branch2][C@H1][Ring1][#Branch2][Ring1][=N]
"The molecule is a pentahydroxyflavone that is flavone substituted by hydroxy groups at positions 3, 7, 3, 4' and 5'. It has a role as a plant metabolite. It is a pentahydroxyflavone and a 7-hydroxyflavonol.",[O][=C][C][Branch1][C][O][=C][Branch2][Ring1][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2][O][C][=C][C][Branch1][C][O][=C][C][=C][Ring2][Ring1][Branch1][Ring1][#Branch1]
"The molecule is an N-sulfonylurea that is glyburide in which the (5-chloro-2-methoxybenzoyl group is replaced by a (5-methylpyrazin-2-yl)carbonyl group. An oral hypoglycemic agent, it is used in the treatment of type 2 diabetes mellitus. It has a role as a hypoglycemic agent, an EC 2.7.1.33 (pantothenate kinase) inhibitor and an insulin secretagogue. It is a N-sulfonylurea, a member of pyrazines, an aromatic amide and a monocarboxylic acid amide.",[C][C][=C][N][=C][Branch2][Ring2][=Branch2][C][Branch1][C][O][=N][C][C][C][=C][C][=C][Branch2][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][Branch1][C][O][=N][C][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring1][C][=N][Ring2][Ring1][=C]
"The molecule is an organic heterooctacyclic compound that is 1H,1'H-2,2'-biindole in which the nitrogens have undergone formal oxidative coupling to positions 2 and 5 of hexyl (3S)-3-hydroxy-2-methyltetrahydrofuran-3-carboxylate (the 2R,3S,5S product), and in which the 3 and 3' positions of the biindole moiety have also undergone formal oxidative coupling to positions 3 and 4 of 1,5-dihydro-2H-pyrrol-2-one. It has a role as an EC 2.7.11.11 (cAMP-dependent protein kinase) inhibitor. It is an organic heterooctacyclic compound, a gamma-lactam, a tertiary alcohol, a carboxylic ester, a hemiaminal, a semisynthetic derivative and an indolocarbazole. It derives from a K-252a.",[C][C][C][C][C][C][O][C][=Branch1][C][=O][C@][Branch1][C][O][C][C@@H1][O][C@@][Ring1][=Branch1][Branch1][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=Branch2][Ring1][#Branch1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][=Branch1][C][Ring1][=Branch2][=C][Ring1][=N][Ring2][Ring1][Ring2][C][Branch1][C][O][=N][C][Ring1][S]
"The molecule is a member if the class of chalcones that is trans-chalcone substituted by a prenyl group at position 5', a hydroxy group at position 2' and methoxy groups at positions 4' and 4 respectively. It has a role as a plant metabolite. It is a member of chalcones, a member of phenols and an aromatic ether.",[C][O][C][=C][C][=C][Branch2][Ring1][=N][/C][=C][/C][=Branch1][C][=O][C][=C][C][Branch1][Branch2][C][C][=C][Branch1][C][C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][=N][O][C][=C][Ring2][Ring1][Branch2]
The molecule is a limonene monoterpenoid that consists of cyclohexanone bearing hydroxy and methyl substituents at position 2 as well as an isopropenyl substituent at position 5. It is a limonene monoterpenoid and a tertiary alpha-hydroxy ketone.,[C][=C][Branch1][C][C][C][C][C][C][Branch1][C][C][Branch1][C][O][C][=Branch1][C][=O][C][Ring1][=Branch2]
"The molecule is a methyl ester resulting from the formal condensation of the carboxy group of thifensulfuron with methanol. It is used as a post-emergence herbicide for the control of grass and broad-leaved weeds. It has a role as an environmental contaminant, a xenobiotic, a herbicide and an agrochemical. It is a N-sulfonylurea, a member of thiophenes, a member of 1,3,5-triazines and a methyl ester. It derives from a thifensulfuron.",[C][O][C][=Branch1][C][=O][C][S][C][=C][C][=Ring1][Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][=C][Branch1][C][O][N][=C][N][=C][Branch1][C][C][N][=C][Branch1][Ring1][O][C][NH1][Ring1][=Branch2]
"The molecule is a member of the class of pyrazoles that is 1H-pyrazole that is substituted at positions 1, 3, 4, and 5 by 2,6-dichloro-4-(trifluoromethyl)phenyl, cyano, (trifluoromethyl)sulfonyl, and amino groups, respectively. It is a metabolite of the agrochemical fipronil. It has a role as a marine xenobiotic metabolite. It is a member of pyrazoles, a dichlorobenzene, a nitrile, a member of (trifluoromethyl)benzenes and a sulfone.",[N][#C][C][=N][N][Branch2][Ring1][#Branch1][C][=C][Branch1][C][Cl][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][O][Cl][C][Branch1][C][N][=C][Ring2][Ring1][C][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F]
The molecule is a cinnamate ester obtained by formal condensation of the carboxy group of trans-caffeic acid with the 3-hydroxy group of quinic acid. It is an intermediate metabolite in the biosynthesis of lignin. It has a role as a plant metabolite and a food component. It is a cinnamate ester and a tannin. It derives from a (-)-quinic acid and a trans-caffeic acid. It is a conjugate acid of a chlorogenate.,[O][=C][Branch1][P][/C][=C][/C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][O][C@@H1][C][C@][Branch1][C][O][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@@H1][Branch1][C][O][C@H1][Ring1][O][O]
The molecule is a glycosylarabinose consisting of beta-D-glucopyranose and alpha-L-arabinopyranose residues joined in sequence by a (1->4) glycosidic bond. It derives from a beta-D-glucose and an alpha-L-arabinopyranose.,[O][C][C@H1][O][C@@H1][Branch1][P][O][C@H1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][Branch2][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring2][Ring1][C][O]
"The molecule is a retinoic acid in which the exocyclic double bonds have 7E,9Z,11E,13E geometry. It has a role as an antineoplastic agent, a retinoid X receptor agonist, a metabolite and a keratolytic drug. It is a conjugate acid of a 9-cis-retinoate.",[C][C][=C][Branch2][Ring1][Ring2][/C][=C][/C][Branch1][C][C][=C][\C][=C][\C][Branch1][C][C][=C][\C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][C][Ring2][Ring1][Branch1]
The molecule is a penicillenic acid having a benzyl substituent at the 2-position on the oxazolone ring. It has a role as an allergen. It is a conjugate acid of a benzylpenicillenate.,[C][C][Branch1][C][C][Branch1][C][S][C@@H1][Branch2][Ring1][=Branch1][N][=C][C][N][=C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=Ring1][N][O][C][=Branch1][C][=O][O]
"The molecule is a member of the class of benzoic acids that is benzoic acid in which the hydrogens at positions 2, 3 and 5 are replaced by iodine atoms. It is an auxin polar transport inhibitor. It has a role as a member of antiauxins. It is an organoiodine compound and a member of benzoic acids.",[O][=C][Branch1][C][O][C][=C][C][Branch1][C][I][=C][C][Branch1][C][I][=C][Ring1][Branch2][I]
"The molecule is a thujane monoterpenoid in which which a (1R,4S,5S)-thujane skeleton is substituted at C-3 with a hydroxy group, with the new asymmetric centre at C-3 having R-configuration. It is a thujane monoterpenoid and a secondary alcohol.",[C][C][Branch1][C][C][C@@][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][C][C@@H1][Ring1][#Branch1][C][Ring1][Branch2]
"The molecule is an aromatic amide that is phenazine substituted at C-1 with a carbamoyl group. It is a member of phenazines, an aromatic amide and a monocarboxylic acid amide.",[N][=C][Branch1][C][O][C][=C][C][=C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][=C][Ring1][#Branch2]
"The molecule is a member of the class of 1,4-benzoquinones that is p-benzoquinone in which the hydrogens at positions 2 and 5 are replaced by aziridin-1-yl groups. It has a role as a mutagen and an alkylating agent. It is a member of 1,4-benzoquinones and a member of aziridines.",[O][=C][C][=C][Branch1][=Branch1][N][C][C][Ring1][Ring1][C][=Branch1][C][=O][C][=C][Ring1][#Branch2][N][C][C][Ring1][Ring1]
"The molecule is a racemate comprising equimolar amounts of (R)-(+)- and (S)-(-)-5-benzoyl-2,3-dihydro-1H-pyrrolizine-1-carboxylic acid. While only the (S)-(-) enantiomer is a COX1 and COX2 inhibitor, the (R)-(+) enantiomer exhibits potent analgesic activity. A non-steroidal anti-inflammatory drug, ketorolac is mainly used (generally as the tromethamine salt) for its potent analgesic properties in the short-term management of post-operative pain, and in eye drops to relieve the ocular itching associated with seasonal allergic conjunctivitis. It was withdrawn from the market in many countries in 1993 following association with haemorrhage and renal failure. It has a role as a cyclooxygenase 2 inhibitor, a cyclooxygenase 1 inhibitor, a non-steroidal anti-inflammatory drug and an analgesic. It contains a (R)-ketorolac and a (S)-ketorolac. It is a conjugate acid of a ketorolac(1-).",[O][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][N][Ring1][Branch1][C][C][C][Ring1][Branch1][C][=Branch1][C][=O][O]
"The molecule is a cinchona alkaloid that is cinchonidine in which the hydrogen at the 6-position of the quinoline ring is substituted by methoxy. It has a role as an antimalarial, a muscle relaxant and a non-narcotic analgesic. It is a conjugate base of a quinine(1+). It derives from a hydride of an (8S)-cinchonan.",[C][=C][C@H1][C][N][C][C][C@H1][Ring1][=Branch1][C][C@H1][Ring1][=Branch1][C@H1][Branch1][C][O][C][=C][C][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][Ring1][Branch2]
The molecule is a monohydroxyflavone a that is flavone substituted by a hydroxy group at position 6 and a methoxy group at position 2'. It is a monomethoxyflavone and a monohydroxyflavone. It derives from a flavone.,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][C][=O][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][O][Ring1][N]
The molecule is the L-enantiomer of 4-methyleneglutamic acid. It is a non-proteinogenic L-alpha-amino acid and a 4-methyleneglutamic acid. It is a conjugate acid of a 4-methylene-L-glutamate(1-). It is an enantiomer of a 4-methylene-D-glutamic acid.,[C][=C][Branch1][O][C][C@H1][Branch1][C][N][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O]
"The molecule is a monocarboxylic acid anion that is the conjugate base of N-isovalerylglycine, obtained by deprotonation of the carboxy group; major species at pH 7.3. It has a role as a human urinary metabolite. It is a N-acylglycinate and a monocarboxylic acid anion. It is a conjugate base of a N-isovalerylglycine.",[C][C][Branch1][C][C][C][C][Branch1][C][O-1][=N][C][C][=Branch1][C][=O][O]
"The molecule is the L-enantiomer of threonic acid. It has a role as a plant metabolite, a Daphnia magna metabolite and an algal metabolite. It is a conjugate acid of a L-threonate. It is an enantiomer of a D-threonic acid.",[O][=C][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C][O]
"The molecule is the conjugate base of (2R,3S)-2-hydroxy-3-methylpentanoic acid. It derives from a valerate. It is a conjugate base of a (2R,3S)-2-hydroxy-3-methylpentanoic acid.",[C][C][C@H1][Branch1][C][C][C@@H1][Branch1][C][O][C][=Branch1][C][=O][O-1]
The molecule is a 2-amino-3-oxobutanoic acid and a non-proteinogenic L-alpha-amino acid. It has a role as a human metabolite and a Saccharomyces cerevisiae metabolite. It is a conjugate acid of a L-2-amino-3-oxobutanoate. It is a tautomer of a L-2-amino-3-oxobutanoic acid zwitterion.,[C][C][=Branch1][C][=O][C@H1][Branch1][C][N][C][=Branch1][C][=O][O]
