prompt,gt_smiles,ring_count,gt_branches,ring_bin,branch_bin,stratum,morgan_sim
"The molecule is a methyl ester resulting from the formal condensation of the carboxy group of thifensulfuron with methanol. It is used as a post-emergence herbicide for the control of grass and broad-leaved weeds. It has a role as an environmental contaminant, a xenobiotic, a herbicide and an agrochemical. It is a N-sulfonylurea, a member of thiophenes, a member of 1,3,5-triazines and a methyl ester. It derives from a thifensulfuron.",COC(=O)c1sccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1,2,6,1-2,3+,1-2r/3+b,0.1538
"The molecule is a member of the class of pyrazoles that is 1H-pyrazole that is substituted at positions 1, 3, 4, and 5 by 2,6-dichloro-4-(trifluoromethyl)phenyl, cyano, (trifluoromethyl)sulfonyl, and amino groups, respectively. It is a metabolite of the agrochemical fipronil. It has a role as a marine xenobiotic metabolite. It is a member of pyrazoles, a dichlorobenzene, a nitrile, a member of (trifluoromethyl)benzenes and a sulfone.",N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F,2,10,1-2,3+,1-2r/3+b,0.1605
The molecule is a cinnamate ester obtained by formal condensation of the carboxy group of trans-caffeic acid with the 3-hydroxy group of quinic acid. It is an intermediate metabolite in the biosynthesis of lignin. It has a role as a plant metabolite and a food component. It is a cinnamate ester and a tannin. It derives from a (-)-quinic acid and a trans-caffeic acid. It is a conjugate acid of a chlorogenate.,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,2,7,1-2,3+,1-2r/3+b,0.1899
The molecule is a glycosylarabinose consisting of beta-D-glucopyranose and alpha-L-arabinopyranose residues joined in sequence by a (1->4) glycosidic bond. It derives from a beta-D-glucose and an alpha-L-arabinopyranose.,OC[C@H]1O[C@@H](O[C@H]2CO[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,2,5,1-2,3+,1-2r/3+b,0.3488
"The molecule is a retinoic acid in which the exocyclic double bonds have 7E,9Z,11E,13E geometry. It has a role as an antineoplastic agent, a retinoid X receptor agonist, a metabolite and a keratolytic drug. It is a conjugate acid of a 9-cis-retinoate.",CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,1,6,1-2,3+,1-2r/3+b,0.1607
The molecule is a penicillenic acid having a benzyl substituent at the 2-position on the oxazolone ring. It has a role as an allergen. It is a conjugate acid of a benzylpenicillenate.,CC(C)(S)[C@@H](N=Cc1nc(Cc2ccccc2)oc1O)C(=O)O,2,5,1-2,3+,1-2r/3+b,0.2143
"The molecule is a member of the class of benzoic acids that is benzoic acid in which the hydrogens at positions 2, 3 and 5 are replaced by iodine atoms. It is an auxin polar transport inhibitor. It has a role as a member of antiauxins. It is an organoiodine compound and a member of benzoic acids.",O=C(O)c1cc(I)cc(I)c1I,1,3,1-2,3+,1-2r/3+b,0.1455
"The molecule is a thujane monoterpenoid in which which a (1R,4S,5S)-thujane skeleton is substituted at C-3 with a hydroxy group, with the new asymmetric centre at C-3 having R-configuration. It is a thujane monoterpenoid and a secondary alcohol.",CC(C)[C@@]12C[C@@H](O)[C@@H](C)[C@@H]1C2,2,3,1-2,3+,1-2r/3+b,0.14
"The molecule is an aromatic amide that is phenazine substituted at C-1 with a carbamoyl group. It is a member of phenazines, an aromatic amide and a monocarboxylic acid amide.",N=C(O)c1cccc2nc3ccccc3nc12,3,1,3+,1-2,3+r/1-2b,0.3023
"The molecule is a member of the class of 1,4-benzoquinones that is p-benzoquinone in which the hydrogens at positions 2 and 5 are replaced by aziridin-1-yl groups. It has a role as a mutagen and an alkylating agent. It is a member of 1,4-benzoquinones and a member of aziridines.",O=C1C=C(N2CC2)C(=O)C=C1N1CC1,3,2,3+,1-2,3+r/1-2b,0.1321
"The molecule is a racemate comprising equimolar amounts of (R)-(+)- and (S)-(-)-5-benzoyl-2,3-dihydro-1H-pyrrolizine-1-carboxylic acid. While only the (S)-(-) enantiomer is a COX1 and COX2 inhibitor, the (R)-(+) enantiomer exhibits potent analgesic activity. A non-steroidal anti-inflammatory drug, ketorolac is mainly used (generally as the tromethamine salt) for its potent analgesic properties in the short-term management of post-operative pain, and in eye drops to relieve the ocular itching associated with seasonal allergic conjunctivitis. It was withdrawn from the market in many countries in 1993 following association with haemorrhage and renal failure. It has a role as a cyclooxygenase 2 inhibitor, a cyclooxygenase 1 inhibitor, a non-steroidal anti-inflammatory drug and an analgesic. It contains a (R)-ketorolac and a (S)-ketorolac. It is a conjugate acid of a ketorolac(1-).",O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,3,2,3+,1-2,3+r/1-2b,0.194
"The molecule is a cinchona alkaloid that is cinchonidine in which the hydrogen at the 6-position of the quinoline ring is substituted by methoxy. It has a role as an antimalarial, a muscle relaxant and a non-narcotic analgesic. It is a conjugate base of a quinine(1+). It derives from a hydride of an (8S)-cinchonan.",C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,5,2,3+,1-2,3+r/1-2b,0.1
The molecule is a monohydroxyflavone a that is flavone substituted by a hydroxy group at position 6 and a methoxy group at position 2'. It is a monomethoxyflavone and a monohydroxyflavone. It derives from a flavone.,COc1ccccc1-c1cc(=O)c2cc(O)ccc2o1,3,2,3+,1-2,3+r/1-2b,0.2059
The molecule is the L-enantiomer of 4-methyleneglutamic acid. It is a non-proteinogenic L-alpha-amino acid and a 4-methyleneglutamic acid. It is a conjugate acid of a 4-methylene-L-glutamate(1-). It is an enantiomer of a 4-methylene-D-glutamic acid.,C=C(C[C@H](N)C(=O)O)C(=O)O,0,4,0,3+,0r/3+b (CONTROL),0.2326
"The molecule is a monocarboxylic acid anion that is the conjugate base of N-isovalerylglycine, obtained by deprotonation of the carboxy group; major species at pH 7.3. It has a role as a human urinary metabolite. It is a N-acylglycinate and a monocarboxylic acid anion. It is a conjugate base of a N-isovalerylglycine.",CC(C)CC([O-])=NCC(=O)O,0,3,0,3+,0r/3+b (CONTROL),0.3333
"The molecule is the L-enantiomer of threonic acid. It has a role as a plant metabolite, a Daphnia magna metabolite and an algal metabolite. It is a conjugate acid of a L-threonate. It is an enantiomer of a D-threonic acid.",O=C(O)[C@H](O)[C@@H](O)CO,0,3,0,3+,0r/3+b (CONTROL),0.1667
"The molecule is the conjugate base of (2R,3S)-2-hydroxy-3-methylpentanoic acid. It derives from a valerate. It is a conjugate base of a (2R,3S)-2-hydroxy-3-methylpentanoic acid.",CC[C@H](C)[C@@H](O)C(=O)[O-],0,3,0,3+,0r/3+b (CONTROL),0.3704
The molecule is a 2-amino-3-oxobutanoic acid and a non-proteinogenic L-alpha-amino acid. It has a role as a human metabolite and a Saccharomyces cerevisiae metabolite. It is a conjugate acid of a L-2-amino-3-oxobutanoate. It is a tautomer of a L-2-amino-3-oxobutanoic acid zwitterion.,CC(=O)[C@H](N)C(=O)O,0,3,0,3+,0r/3+b (CONTROL),0.3636
