prompt,gt_smiles,gen_smiles,valid,exact_match,bleu2,bleu4,atom_bleu2,atom_bleu4,lev_sim,morgan_sim,maccs_sim,rdk_sim
"The molecule is a scalarane sesterterpenoid that is 12-epi-scalarin in which the hydorxy group at position 19 is replaced by a methoxy group. It has been isolated from the sponge, Hyattella species. It has a role as an animal metabolite. It is a scalarane sesterterpenoid, an acetate ester, an organic heteropentacyclic compound and a gamma-lactone. It derives from a 12-epi-scalarin.",CO[C@@H]1OC(=O)C2=CC[C@H]3[C@]4(C)CC[C@H]5C(C)(C)CCC[C@]5(C)[C@H]4C[C@@H](OC(C)=O)[C@]3(C)[C@H]21,C=CC(=O)OCC1C2C=[C]CC[C@H]3[CH]CC[C@@](C)([CH]CC[C](CC[C]2C)CC(=O)O3)COC1(C)C,True,False,0.6071,0.358,0.5819,0.2939,0.4536,0.1622,0.7083,0.4665
"The molecule is a member of the class of imidazolidinones that is 1,5,5-trimethyl-2-oxoimidazolidine bearing additional m-chlorophenyl and N'-p-chlorophenylureido substituents at positions 3 and 4 respectively. It is a member of monochlorobenzenes, an imidazolidinone and a member of phenylureas.",CN1C(=O)N(c2cccc(Cl)c2)C(N=C(O)Nc2ccc(Cl)cc2)C1(C)C,CC1(C)CC(=O)N(C(=O)NC(=Nc2ccc(Cl)cc2)c2ccc(Cl)cc2)C(O)=N1,True,False,0.8289,0.6949,0.8225,0.6825,0.4737,0.2267,0.7344,0.3896
"The molecule is a hydroxycoumarin that is 4,7-dihydroxy-2H-chromen-2-one substituted by a 2,4-dihydroxyphenyl group at position 3. It is isolated from the roots of Asphodelus microcarpus and exhibits antimicrobial activity against bacteria like Staphylococcus aureus, Escherichia coli and Pseudomonas aeruginosa and fungal microorganisms like Candida albicans and Botrytis cinerea. It has a role as a metabolite, an antifungal agent and an antibacterial agent. It is a hydroxycoumarin and a polyphenol.",O=c1oc2cc(O)ccc2c(O)c1-c1ccc(O)cc1O,O=CC(=CC=NC(O)=CO)c1ccc(O)c(O)c1,True,False,0.5331,0.4219,0.5331,0.4219,0.3714,0.1404,0.3864,0.1723
"The molecule is a member of the class of biindoles that is indirubin substituted at position 6 by a bromo group and in which the keto group at position 3' has undergone condensation with hydroxylamine to form the corresponding oxime. It has a role as an EC 2.7.11.1 (non-specific serine/threonine protein kinase) inhibitor and an EC 2.7.11.26 (tau-protein kinase) inhibitor. It is a ketoxime, an organobromine compound, a member of oxindoles and a biindole.",O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2ccccc12,C=CC=CC(Cl)=CC(Cl)=CNc1c(I)cc(Br)cc1NCc1cccnc1C=C,True,False,0.378,0.2671,0.3717,0.2573,0.2857,0.1264,0.3871,0.3112
"The molecule is a member of the class of cyclobutadipyrimidines that is 1,4a,4b,8,8a,8b-hexahydrocyclobuta[1,2-d:4,3-d']dipyrimidine-2,4,7(3H)-trione carrying additional methyl and amino substituents at positions 4a and 5 respectively. It has a role as a Mycoplasma genitalium metabolite.",CC12C(O)=NC(O)=NC1C1N=C(O)NC(=N)C12,CC1C(=O)[C@H]2CC2[C@H](CNc2cc(O)nc(=N)[nH]2)N1C,True,False,0.3942,0.1473,0.4976,0.1908,0.3617,0.1429,0.5143,0.2974
"The molecule is a glucocorticoid, a 20-oxo steroid, a 21-hydroxy steroid, a 17alpha-hydroxy steroid, a fluorinated steroid, an 11beta-hydroxy steroid, a 3-oxo-Delta(1),Delta(4)-steroid, a primary alpha-hydroxy ketone and a tertiary alpha-hydroxy ketone. It has a role as an anti-inflammatory drug, an anti-asthmatic agent and an immunosuppressive agent. It derives from a hydride of a pregnane.",C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,C[C@]12C=CC(=O)C=C1CC[CH][C@@H]2C[C](F)[C@@]1(F)[C@H](O)CC[C@]1(F)C(=O)[C](F)C(=O)C(F)(F)F,True,False,0.7433,0.5699,0.5752,0.3853,0.4889,0.2841,0.8039,0.566
"The molecule is a trimethoxyflavone that is tricin in which the hydroxy group at position 7 has been replaced by a methoxy group. It has been isolated from the stems of Sinocalamus affinis. It has a role as a plant metabolite. It is a trimethoxyflavone and a dihydroxyflavone. It derives from a 3',5'-di-O-methyltricetin.",COc1cc(O)c2c(=O)cc(-c3cc(OC)c(O)c(OC)c3)oc2c1,O=c1oc2c(c3cc(O)cc(O)c13)C(O)C1=COCC(O)=CC=C12,True,False,0.6461,0.4388,0.6461,0.4388,0.3913,0.1857,0.5682,0.3915
The molecule is a nucleotide-sugar oxoanion arising from deprotonation of all four phosphate OH groups of 1-(5-phospho-beta-D-ribosyl)-5'-AMP; major species at pH 7.3. It has a role as a Saccharomyces cerevisiae metabolite. It is a conjugate base of a 1-(5-phospho-beta-D-ribosyl)-5'-AMP.,N=c1c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,Nc1nc2nc3c1ncn3[CH]O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)[C@H]2[O-],True,False,0.6456,0.5725,0.6473,0.5366,0.4602,0.36,0.8857,0.5801
"The molecule is a monohydroxyflavone that is flavone with a hydroxy substituent at position 5 and methoxy groups at positions 7, 2', 4' and 5'. Isolated from Calliandra californica, it exhibits antibacterial activity. It has a role as a metabolite and an antibacterial agent. It is a monohydroxyflavone and a tetramethoxyflavone.",COc1cc(O)c2c(=O)cc(-c3cc(OC)c(OC)cc3OC)oc2c1,COC=CC(O)=CC(=CC(=COC)OC)C1=C2c3c(cc(OC)c(OC)c3O)OCC12,True,False,0.5261,0.3386,0.5261,0.3386,0.4444,0.1463,0.7,0.3922
"The molecule is a tetracyclic triterpenoid that is dammar-20-ene substituted by hydroxy groups at positions 24 and 25 and an oxo group at position 3. It has been isolated from the stems of Aglaia abbreviata. It has a role as a plant metabolite. It is a diol, a tetracyclic triterpenoid and a cyclic terpene ketone. It derives from a hydride of a dammarane.",C=C(CCC(O)C(C)(C)O)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@]3(C)CCC(=O)C(C)(C)[C@@H]3CC[C@]12C,C[C]([CH]C[CH][C@@]1(C)CCC[C](C)C1C[CH][C@H](C)CCCC(C)C)CCC=C(C)C,True,False,0.5771,0.3366,0.4975,0.2936,0.4667,0.1383,0.4878,0.2832
"The molecule is dianon of 3,5-dibromo-4-hydroxybenzoic acid arising from deprotonation of both the carboxy and phenolic functions. It is a monocarboxylic acid anion and a phenolate anion. It is a conjugate base of a 3,5-dibromo-4-hydroxybenzoic acid.",O=C([O-])c1cc(Br)c([O-])c(Br)c1,O=C([O-])c1ccc([O-])c(Cl)c1O,True,False,0.7663,0.695,0.7735,0.6708,0.7742,0.2571,0.7917,0.336
The molecule is a dicarboxylic acid dianion arising from deprotonation of both carboxy groups of 4-carboxy-2-hydroxymuconate semialdehyde hemiacetal; major species at pH 7.3. It is a conjugate base of a 4-carboxy-2-hydroxymuconate semialdehyde hemiacetal.,O=C([O-])C1=CC(O)OC(C(=O)[O-])=C1,O=C([O-])/C=C(/C=C([O-])/C=C\C=C\C(=O)[O-])C(=O)[O-],True,False,0.5185,0.396,0.5114,0.3378,0.5192,0.1163,0.5909,0.3762
"The molecule is a nucleobase analogue that is uracil substituted with a (2-hydroxyethyl)amino group at position 6 and an (E)-(2-oxopropylidene)amino group at position 5; one of 20 modifications to the potent microbial riboflavin-based metabolite antigen 5-(2-oxopropylideneamino)-6-D-ribityl aminouracil (5-OP-RU), an activator of mucosal-associated invariant T (MAIT) cells when presented by the MR1 protein (reported in MED:32123373). It has a role as an epitope. It is a pyrimidone and a nucleobase analogue. It derives from a uracil.",CC(=O)C=Nc1c(O)nc(O)nc1NCCO,CCC(=O)C[C@H](C)N=C(O)/C=C/C(O)=NC(=NN=C1OC1CN=C(N)O)C(O)C(=O)N=C(O)C(CN=C(C)O)=C(N)O,True,False,0.2029,0.1141,0.213,0.1198,0.2353,0.1064,0.5,0.2213
"The molecule is an S-substituted glutathione(1-) obtained by deprotonation of the the two carboxy groups and protonation of the amino group of 2-(glutathion-S-yl)hydroquinone; major species at pH 7.3. It is a conjugate base of a 2-(glutathion-S-yl)-1,4-hydroquinone.",N[C@@H](CCC(O)=N[C@@H](CSc1cc([O-])ccc1O)C(O)=NCC(=O)O)C(=O)O,N[C@H](C(=O)O)C(=O)[C@@H](N)CSCC(O)=NCC(=O)CSC[C@@H](C=O)N=C([O-])CC[C@H](N)O[C@@H](CCC(=O)[O-])C(=O)O,True,False,0.4865,0.4277,0.4935,0.4044,0.451,0.2418,0.6667,0.3014
The molecule is a monocarboxylic acid anion that is the conjugate base of mupirocin obtained by the deprotonation of the carboxy group; major microspecies at pH 7.3. It is a conjugate base of a mupirocin.,C/C(=C\C(=O)OCCCCCCCCC(=O)[O-])C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,C[C@H](C[CH][C@H](C)CCC(=O)[O-])C(=O)[O-],True,False,0.2324,0.2016,0.211,0.1749,0.299,0.1972,0.383,0.1561
"The molecule is an O-sulfoamino acid and an aryl sulfate. It has a role as a human metabolite. It derives from a 3,3',5-triiodo-L-thyronine.",N[C@@H](Cc1cc(I)c(Oc2ccc(OS(=O)(=O)O)c(I)c2)c(I)c1)C(=O)O,O=S(=O)(O)C=C(C(I)=Cc1cc(Br)c(O)c(I)c1Br)c1cc(I)c(S(=O)(=O)O)c(I)c1I,True,False,0.6559,0.5332,0.669,0.5469,0.3088,0.1667,0.6452,0.3073
"The molecule is trianion of 2-(carboxymethyl)-5-oxo-2,5-dihydro-3-furoic acid arising from deprotonation of the two carboxy groups as well as removal of the acidic proton at C2; major species at pH 7.3. It is a conjugate base of a 2-(carboxymethyl)-5-oxo-2,5-dihydro-3-furoic acid.",O=C([O-])Cc1oc([O-])cc1C(=O)[O-],O=C([O-])C(=O)c1ccc([O-])cc1C(=O)O,True,False,0.7739,0.7006,0.7071,0.6223,0.7353,0.2439,0.6296,0.3194
"The molecule is a member of the class of thioureas that is 3,4-dihydropyrimidine-2(1H)-thione substituted by a 3-methoxyphenyl group at position 4, a methyl group at position 6 and a ethoxycarbonyl group at position 5. It is a pyrimidinecarboxylate ester, an aromatic ether, a member of thioureas and an ethyl ester.",CCOC(=O)C1=C(C)N=C(S)NC1c1cccc(OC)c1,COC(=O)COC1=CC(CCOC(C)=O)CN=C(N=C(C)C)N=C(OC)ON=C(C)CC=NN=C1,True,False,0.4096,0.3301,0.4096,0.3301,0.3833,0.1633,0.4177,0.2733
The molecule is a 2-acylphloroglucinol in which the acyl group is specified as hexanoyl. It is the intermediate biosynthetic precursor for differentiation-inducing factor 1 (DIF-1). It has a role as a plant metabolite.,CCCCCC(=O)c1c(O)cc(O)cc1O,CCCCCC(=O)c1cc(O)c(O)c(O)c1CC(CCCC(O)CCCCC)CCC(C)C,True,False,0.4738,0.4049,0.4738,0.4049,0.46,0.3519,0.7895,0.4985
The molecule is l-Cysteine substituted at nitrogen by an acetyl group and at sulfur by a substituted-lactam carbonyl group. It is a lactam and a S-substituted L-cysteine.,CC(O)=N[C@@H](CSC(=O)[C@]1([C@@H](O)C(C)C)N=C(O)[C@H](C)[C@@H]1O)C(=O)O,CC(O)=N[C@@H](CSCC(=O)O)C(S)=N[C@@H](CSC(=O)O)C(O)=N[C@@H](C[SH]=C(O)OS)[C@@H](CCC(=N)SC(=O)O)OC(C)S,True,False,0.6191,0.5111,0.5188,0.4109,0.56,0.2105,0.4853,0.396
The molecule is an ammonium ion resulting from the protonation of the tertiary amino group of ketotifen. It is a conjugate acid of a ketotifen.,C[NH+]1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,C[NH+](C)CCC(=O)C1[NH+]CCC(C[NH+](Cc2ccccc2)C(=O)c2ccccc2)C1C=O,True,False,0.4919,0.3303,0.5288,0.3285,0.4921,0.1071,0.5147,0.2641
"The molecule is a sesquiterpenoid that is bisabola-2,10-diene substituted by a peroxy group between positions 2 and 10 (the 1S,4R,6R stereoisomer). Isolated from Artemisia stolonifera and Eupatorium rufescens, it exhibits antineoplastic and antiplasmodial activity. It has a role as a metabolite, an antineoplastic agent and an antiplasmodial drug. It is an organic peroxide and a sesquiterpenoid. It derives from a hydride of a bisabolane.",CC(C)=CCC[C@H](C)[C@H]1C[C@H]2OO[C@@H]1C=C2C,COC1(C)[CH]CC[CH][C]2CC/C(=C(\C)CCC=C(C)C)[C@H]1C2,True,False,0.6471,0.3911,0.5116,0.2657,0.38,0.2029,0.5676,0.3486
"The molecule is an N-(1-benzylpyrrolidin-3-yl)-5,6-dimethylthieno[2,3-d]pyrimidin-4-amine in which the chiral centre has R configuration. Both enantiomers act as fatty acid synthase inhibitors, although the (S)-enantiomer was found to be more than 4 times as active as the (R)-enantiomer. It has a role as a fatty acid synthesis inhibitor and an EC 2.3.1.85 (fatty acid synthase) inhibitor. It is an enantiomer of a (S)-Fasnall.",Cc1sc2ncnc(N[C@@H]3CCN(Cc4ccccc4)C3)c2c1C,CC(C)CC1CNN=C([C@@H](O)c2ccccc2-c2ccccc2)[C@H]1O,True,False,0.5208,0.29,0.5044,0.2314,0.3125,0.1341,0.3151,0.3086
The molecule is a member of the class of ptercoarpans that is cis-pterocarpan substituted by a hydroxy group at position 3 and a methylenedioxy group across positions 8 and 9. It is a member of pterocarpans and a member of phenols.,Oc1ccc2c(c1)OCC1c3cc4c(cc3OC21)OCO4,COc1cc2c(cc1O)CO[C@@H]2Cc1cc2c(cc1O)OCO2,True,False,0.5981,0.3741,0.6848,0.43,0.525,0.2381,0.7143,0.497
"The molecule is an azaarene that is benzo[c]cinnoline with methoxy substituents at positions 1 and 10. It is isolated from Streptomyces sp. strain 4849 with pharmaceutical potential as an inhibitor of interleukin-4 receptor (IL-4). It has a role as a metabolite and an antimicrobial agent. It is an azaarene, an aromatic ether and an organic heterotricyclic compound.",COc1cccc2nnc3cccc(OC)c3c12,CCN1CCN2Cc3ccccc3C1=Cc1cccc(OC)c12,True,False,0.6074,0.4892,0.6074,0.4892,0.4706,0.2308,0.4182,0.2098
The molecule is a dipeptide consisting of beta-alanine and L-lysine units joined by a peptide linkage. It is a tautomer of a beta-alanyl-L-lysine zwitterion.,NCCCC[C@H](N=C(O)CCN)C(=O)O,CCN=C(O)[C@H](C[CH]CCN)NCCC(CCOC(=O)[C@H](CCCCN)N=C(O)CC(=N)O)C(=O)O,True,False,0.3849,0.323,0.3796,0.3107,0.3971,0.3088,0.7872,0.395
"The molecule is a member of the class of chloroethanes that is ethane in which five of the six hydrogens are replaced by chlorines. A non-flammable, high-boiling liquid (b.p. 161-162℃) with relative density 1.67 and an odour resembling that of chloroform, it is used as a solvent for oil and grease, in metal cleaning, and in the separation of coal from impurities. It has a role as a non-polar solvent.",ClC(Cl)C(Cl)(Cl)Cl,CC(C)Cl,True,False,0.1696,0.0,0.1798,0.0,0.3889,0.3,0.375,0.2143
The molecule is a quaternary ammonium ion where three methyl groups and one 2-phosphoethyl group are attached to the nitrogen. It has a role as a mouse metabolite. It derives from a phosphonic acid.,C[N+](C)(C)CCP(=O)(O)O,C[N+](C)(C)CCOP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-],True,False,0.3894,0.3282,0.465,0.3788,0.4151,0.303,0.7021,0.0982
The molecule is a citronellic acid that has (S)-configuration. It is a conjugate acid of a (S)-citronellate. It is an enantiomer of a (R)-citronellic acid.,CC(C)=CCC[C@H](C)CC(=O)O,O=C(O)C[C@H](O)C(=O)O,True,False,0.6715,0.4998,0.6014,0.367,0.6667,0.3,0.2727,0.1976
"The molecule is a nitroso compound that is triazane in which the nitrogen at position 1 is substituted by an isopropyl group and a 3-aminopropyl group, that at position 2 is substituted by a hydroxy group, and that at position 3 is substituted by an oxo group. It is a nitric oxide donor. It has a role as a nitric oxide donor. It is a nitroso compound, a tertiary amino compound and a primary amino compound.",CC(C)N(CCCN)/[N+]([O-])=N/O,CCOCN(CCN=C(O)NN(CCCNCCNC(O)C(N)COCN(CCCCNN)CN(C)C)N(C)O)CN(C)N,True,False,0.2313,0.1574,0.2188,0.1531,0.2698,0.1047,0.6232,0.1304
