prompt,gt_smiles,gen_smiles,valid,exact_match,bleu2,bleu4,atom_bleu2,atom_bleu4,lev_sim,morgan_sim,maccs_sim,rdk_sim
"The molecule is a pyrrolopyrimidine that is 7-methyl-7H-pyrrolo[2,3-d]pyrimidin-4-amine which has been substituted at position 5 by a 4-fluoro-2,3-dihydro-1H-indol-5-yl group, the nitrogen of which has been acylated by a (6-methylpyridin-2-yl)acetyl group. An orally bioavailable PERK inhibitor. It has a role as an EC 3.1.3.48 (protein-tyrosine-phosphatase) inhibitor, a PERK inhibitor and an antineoplastic agent. It is a pyrrolopyrimidine, a biaryl, a member of indoles, a member of methylpyridines, an organofluorine compound and a tertiary carboxamide.",Cc1cccc(CC(=O)N2CCc3c2ccc(-c2cn(C)c4ncnc(N)c24)c3F)n1,C=CC(=CC=CN1NC(C=NN=CC)=NCC=NC=CC1=O)N1C=NNC(C(F)(F)F)=N1,True,False,0.2815,0.1209,0.2815,0.1209,0.1754,0.0917,0.4324,0.3642
"The molecule is a pyrrolizidine alkaloid isolated from the plant species of the genus Senecio. It has a role as a plant metabolite. It is a lactone, a pyrrolizidine alkaloid and a tertiary alcohol. It derives from a senecionan. It is a conjugate base of a senecionine(1+).",C/C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,C[C]1[C@@H](OC(C)(C)O)[C@@H](C(=O)O)[C@@H]2C[C@H]3[C]4CC[C]5CC[C@@H]([C@H]53)[C@H]1C2NC4=O,True,False,0.5789,0.4402,0.5816,0.3411,0.4333,0.0957,0.4925,0.344
"The molecule is the malonate ester of a labdane diterpenoid. Isolated from the aerial parts of Stemodia foliosa, it exhibits antibacterial activity. It has a role as a metabolite and an antibacterial agent. It is a labdane diterpenoid, a cyclic ether and a malonate ester.",C=C[C@@]1(C)CC[C@@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3[C@@H](OC(=O)CC(=O)O)C[C@@]2(C)O1,C=CC(=O)O[C@H]1C[C]2C3[C@@H]4CC[C@]1(C)C(=O)OC(=O)C(C)(C)C3(O)C[C][C@H]4C[C@@]2(C)OC(C)(C)C,True,False,0.7656,0.5837,0.6574,0.4805,0.4176,0.1875,0.9048,0.5905
The molecule is a ribonucleoside 5'-monophosphate that is wyosine 5'-monophosphate substituted at position 7 by a 3-amino-3-carboxypropyl group. It derives from a guanosine. It is a tautomer of a 7-(3-amino-3-carboxypropyl)wyosine 5'-monophosphate zwitterion.,Cc1nc2n(C)c3c(ncn3[C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c(=O)n2c1CC[C@H](N)C(=O)O,CO[C@@H]1[C@H](O)[C@H](N[CH]N2C=NCC(O)=NC=N2)COP(=O)(O)OC(=O)N[C@H]1C[C@H](O)C(=O)O,True,False,0.6967,0.5541,0.5771,0.3963,0.3721,0.1557,0.6818,0.4461
"The molecule is a member of the class of ergot alkaloids that is known to act on serotonin and dopamine receptors. It has a role as an antiparkinson drug, a dopamine agonist and a serotonergic antagonist. It is an ergot alkaloid and a member of sulfamides. It derives from a hydride of an ergoline.",CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,CN(C)[C@H]1Cc2ccccc2[C@@H]1CCCCCNC(=O)c1cccc2ccccc12,True,False,0.4857,0.2958,0.419,0.2047,0.2712,0.2048,0.4444,0.4337
"The molecule is a cytochalasan alkaloid found in Chaetomium globosum. It has a role as a Chaetomium metabolite. It is a cytochalasan alkaloid, a member of indoles and a macrocycle.",CC1=C(O)C(=O)[C@H]2CC(=O)[C@@]34C(O)=N[C@@H](Cc5c[nH]c6ccccc56)[C@@H]3C(C)=C(C)[C@@H](O)[C@@H]4/C=C/C[C@H](C)[C@H]12,C[C@@H]1C(O)=N[C@H](CCC(=O)c2ccccc2)C/C=C/[CH]C(=O)[C@@H]1C,True,False,0.3389,0.2758,0.3485,0.2437,0.3707,0.1837,0.5517,0.352
"The molecule is an indole alkaloid isolated from Tabernaemontana corymbosa, and has been shown to exhibit cytotoxicity against human KB cells. It has a role as a metabolite and an antineoplastic agent. It is an alkaloid ester, an aromatic ether, an indole alkaloid, a member of phenols, a methyl ester and an organic heterohexacyclic compound.",COC(=O)C1=C2Nc3cc(OC)c(O)cc3[C@@]23CCN2CC[C@@H]4OCC[C@]4(C1)[C@H]23,CNCC[C@@H]1C[C@H]2C3[CH]N(C)CCc4c(cccc4OC)CC2c2cc(=[NH2+])cc(OC)c(OC)cn(C)c(c21)C3,True,False,0.5733,0.3578,0.5142,0.2525,0.2439,0.1478,0.5679,0.6406
"The molecule is a pentahydroxyflavone that is flavone substituted by hydroxy groups at positions 3, 7, 3, 4' and 5'. It has a role as a plant metabolite. It is a pentahydroxyflavone and a 7-hydroxyflavonol.",O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)ccc12,O=Cc1cc(-c2ccc(O)c(O)c2)oc1-c1ccc(O)c(O)c1,True,False,0.8421,0.7208,0.8421,0.7208,0.619,0.2653,0.8065,0.3798
"The molecule is an N-sulfonylurea that is glyburide in which the (5-chloro-2-methoxybenzoyl group is replaced by a (5-methylpyrazin-2-yl)carbonyl group. An oral hypoglycemic agent, it is used in the treatment of type 2 diabetes mellitus. It has a role as a hypoglycemic agent, an EC 2.7.1.33 (pantothenate kinase) inhibitor and an insulin secretagogue. It is a N-sulfonylurea, a member of pyrazines, an aromatic amide and a monocarboxylic acid amide.",Cc1cnc(C(O)=NCCc2ccc(S(=O)(=O)NC(O)=NC3CCCCC3)cc2)cn1,CNC=CC=CN=NC=CN=CN=C(O)CNC(=O)c1ccc(Cl)cc1C,True,False,0.4983,0.2367,0.4836,0.2272,0.3019,0.1263,0.3529,0.2124
"The molecule is an organic heterooctacyclic compound that is 1H,1'H-2,2'-biindole in which the nitrogens have undergone formal oxidative coupling to positions 2 and 5 of hexyl (3S)-3-hydroxy-2-methyltetrahydrofuran-3-carboxylate (the 2R,3S,5S product), and in which the 3 and 3' positions of the biindole moiety have also undergone formal oxidative coupling to positions 3 and 4 of 1,5-dihydro-2H-pyrrol-2-one. It has a role as an EC 2.7.11.11 (cAMP-dependent protein kinase) inhibitor. It is an organic heterooctacyclic compound, a gamma-lactam, a tertiary alcohol, a carboxylic ester, a hemiaminal, a semisynthetic derivative and an indolocarbazole. It derives from a K-252a.",CCCCCCOC(=O)[C@]1(O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(O)=NC4,CC=C1C2=c3cccc2c3=C1C=CC(=O)N1CC(C2=CN3CCC(CCCCCC)COc4ccc(c3c4)C2)C1,True,False,0.4858,0.2731,0.5622,0.3209,0.2625,0.1527,0.5542,0.6444
"The molecule is a member if the class of chalcones that is trans-chalcone substituted by a prenyl group at position 5', a hydroxy group at position 2' and methoxy groups at positions 4' and 4 respectively. It has a role as a plant metabolite. It is a member of chalcones, a member of phenols and an aromatic ether.",COc1ccc(/C=C/C(=O)c2cc(CC=C(C)C)c(OC)cc2O)cc1,C=CC(C(O)=CC=CC(=O)/C=C/C1=C(O)C=CCOC=C1)C(C)(C)C,True,False,0.5385,0.3437,0.5385,0.3437,0.3469,0.1446,0.4634,0.1442
The molecule is a limonene monoterpenoid that consists of cyclohexanone bearing hydroxy and methyl substituents at position 2 as well as an isopropenyl substituent at position 5. It is a limonene monoterpenoid and a tertiary alpha-hydroxy ketone.,C=C(C)C1CCC(C)(O)C(=O)C1,C=CCC1C(CC(=O)C2(C)CC2)C(C)CC(C)(C)[C@H]1C,True,False,0.5168,0.3786,0.572,0.4201,0.4286,0.1667,0.5588,0.3774
"The molecule is a methyl ester resulting from the formal condensation of the carboxy group of thifensulfuron with methanol. It is used as a post-emergence herbicide for the control of grass and broad-leaved weeds. It has a role as an environmental contaminant, a xenobiotic, a herbicide and an agrochemical. It is a N-sulfonylurea, a member of thiophenes, a member of 1,3,5-triazines and a methyl ester. It derives from a thifensulfuron.",COC(=O)c1sccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1,COS(C)(=O)=O,True,False,0.0414,0.0238,0.0532,0.0305,0.2245,0.1111,0.3108,0.0219
"The molecule is a member of the class of pyrazoles that is 1H-pyrazole that is substituted at positions 1, 3, 4, and 5 by 2,6-dichloro-4-(trifluoromethyl)phenyl, cyano, (trifluoromethyl)sulfonyl, and amino groups, respectively. It is a metabolite of the agrochemical fipronil. It has a role as a marine xenobiotic metabolite. It is a member of pyrazoles, a dichlorobenzene, a nitrile, a member of (trifluoromethyl)benzenes and a sulfone.",N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F,O=S1(=O)N=C(F)C(F)(F)C(C(F)(F)F)=CC=C(S(=O)(=O)O)C=CC=C(C(F)(F)F)C(F)=CN1,True,False,0.4448,0.3632,0.4251,0.3551,0.3562,0.1341,0.4667,0.3306
The molecule is a cinnamate ester obtained by formal condensation of the carboxy group of trans-caffeic acid with the 3-hydroxy group of quinic acid. It is an intermediate metabolite in the biosynthesis of lignin. It has a role as a plant metabolite and a food component. It is a cinnamate ester and a tannin. It derives from a (-)-quinic acid and a trans-caffeic acid. It is a conjugate acid of a chlorogenate.,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,O=C/C=C/c1ccc(O)cc1,True,False,0.0837,0.0734,0.2049,0.1797,0.2923,0.1818,0.3939,0.2239
The molecule is a glycosylarabinose consisting of beta-D-glucopyranose and alpha-L-arabinopyranose residues joined in sequence by a (1->4) glycosidic bond. It derives from a beta-D-glucose and an alpha-L-arabinopyranose.,OC[C@H]1O[C@@H](O[C@H]2CO[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,[CH][C@@H](O)[C@@H](O)[C@H](O[CH]CO)O[C@@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,True,False,0.8731,0.7866,0.7356,0.5801,0.7625,0.283,0.8438,0.6268
"The molecule is a retinoic acid in which the exocyclic double bonds have 7E,9Z,11E,13E geometry. It has a role as an antineoplastic agent, a retinoid X receptor agonist, a metabolite and a keratolytic drug. It is a conjugate acid of a 9-cis-retinoate.",CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,C/C=C(\C)CCC=C(C)C,True,False,0.1937,0.1329,0.1937,0.1329,0.3617,0.0769,0.48,0.1618
The molecule is a penicillenic acid having a benzyl substituent at the 2-position on the oxazolone ring. It has a role as an allergen. It is a conjugate acid of a benzylpenicillenate.,CC(C)(S)[C@@H](N=Cc1nc(Cc2ccccc2)oc1O)C(=O)O,O=C(O)COCc1ccccc1,True,False,0.1694,0.0869,0.2273,0.1166,0.2955,0.2364,0.2321,0.0949
"The molecule is a member of the class of benzoic acids that is benzoic acid in which the hydrogens at positions 2, 3 and 5 are replaced by iodine atoms. It is an auxin polar transport inhibitor. It has a role as a member of antiauxins. It is an organoiodine compound and a member of benzoic acids.",O=C(O)c1cc(I)cc(I)c1I,O=[N+](O)C1=CC=C(O)C(Br)C(Br)=C1,True,False,0.2459,0.1429,0.2924,0.171,0.3125,0.0909,0.2093,0.118
"The molecule is a thujane monoterpenoid in which which a (1R,4S,5S)-thujane skeleton is substituted at C-3 with a hydroxy group, with the new asymmetric centre at C-3 having R-configuration. It is a thujane monoterpenoid and a secondary alcohol.",CC(C)[C@@]12C[C@@H](O)[C@@H](C)[C@@H]1C2,C[C@H]1[C@H](O)[CH]CC[C@H]1C,True,False,0.5774,0.3952,0.2596,0.0,0.65,0.2059,0.4828,0.4829
"The molecule is an aromatic amide that is phenazine substituted at C-1 with a carbamoyl group. It is a member of phenazines, an aromatic amide and a monocarboxylic acid amide.",N=C(O)c1cccc2nc3ccccc3nc12,C#CC=CC=CC=CC=NC(=Nc1ccccc1C(=N)O)c1ccccc1,True,False,0.4032,0.2847,0.4032,0.2847,0.3095,0.25,0.5526,0.2118
"The molecule is a member of the class of 1,4-benzoquinones that is p-benzoquinone in which the hydrogens at positions 2 and 5 are replaced by aziridin-1-yl groups. It has a role as a mutagen and an alkylating agent. It is a member of 1,4-benzoquinones and a member of aziridines.",O=C1C=C(N2CC2)C(=O)C=C1N1CC1,CCC1C2=NC(=O)C(CCCOC=O)CC(=O)C3=CC(=O)C=CC3=CC(=O)OC2CCCC(=O)CC1C,True,False,0.3467,0.1981,0.3467,0.1981,0.3077,0.0909,0.3548,0.1918
"The molecule is a racemate comprising equimolar amounts of (R)-(+)- and (S)-(-)-5-benzoyl-2,3-dihydro-1H-pyrrolizine-1-carboxylic acid. While only the (S)-(-) enantiomer is a COX1 and COX2 inhibitor, the (R)-(+) enantiomer exhibits potent analgesic activity. A non-steroidal anti-inflammatory drug, ketorolac is mainly used (generally as the tromethamine salt) for its potent analgesic properties in the short-term management of post-operative pain, and in eye drops to relieve the ocular itching associated with seasonal allergic conjunctivitis. It was withdrawn from the market in many countries in 1993 following association with haemorrhage and renal failure. It has a role as a cyclooxygenase 2 inhibitor, a cyclooxygenase 1 inhibitor, a non-steroidal anti-inflammatory drug and an analgesic. It contains a (R)-ketorolac and a (S)-ketorolac. It is a conjugate acid of a ketorolac(1-).",O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,O=C(O)C=C1CC2=C(C(=O)NC3CC[C@@H](C(=O)c4ccccc4)c4ccccc4C3)C=C12,True,False,0.3592,0.2098,0.3904,0.2284,0.254,0.2388,0.4528,0.3641
"The molecule is a cinchona alkaloid that is cinchonidine in which the hydrogen at the 6-position of the quinoline ring is substituted by methoxy. It has a role as an antimalarial, a muscle relaxant and a non-narcotic analgesic. It is a conjugate base of a quinine(1+). It derives from a hydride of an (8S)-cinchonan.",C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,[CH]1[CH]C[C@H](c2ccccc2NCc2ccccc2)CC[CH]NC1,True,False,0.5431,0.3059,0.3971,0.1677,0.3585,0.0805,0.4074,0.2437
The molecule is a monohydroxyflavone a that is flavone substituted by a hydroxy group at position 6 and a methoxy group at position 2'. It is a monomethoxyflavone and a monohydroxyflavone. It derives from a flavone.,COc1ccccc1-c1cc(=O)c2cc(O)ccc2o1,C=CC(=CC=COC)C1=CC(=O)c2c(O)cc(O)cc2C1=O,True,False,0.4274,0.327,0.4274,0.327,0.4,0.1739,0.6571,0.2812
The molecule is the L-enantiomer of 4-methyleneglutamic acid. It is a non-proteinogenic L-alpha-amino acid and a 4-methyleneglutamic acid. It is a conjugate acid of a 4-methylene-L-glutamate(1-). It is an enantiomer of a 4-methylene-D-glutamic acid.,C=C(C[C@H](N)C(=O)O)C(=O)O,C[C@@H](C=O)OC(=O)[C@H](N)CC(=O)O,True,False,0.736,0.59,0.8231,0.5994,0.4848,0.2703,0.5938,0.2087
"The molecule is a monocarboxylic acid anion that is the conjugate base of N-isovalerylglycine, obtained by deprotonation of the carboxy group; major species at pH 7.3. It has a role as a human urinary metabolite. It is a N-acylglycinate and a monocarboxylic acid anion. It is a conjugate base of a N-isovalerylglycine.",CC(C)CC([O-])=NCC(=O)O,CC(C)CC(N)CC(=O)[O-],True,False,0.804,0.6574,0.7699,0.65,0.5909,0.3333,0.5312,0.1759
"The molecule is the L-enantiomer of threonic acid. It has a role as a plant metabolite, a Daphnia magna metabolite and an algal metabolite. It is a conjugate acid of a L-threonate. It is an enantiomer of a D-threonic acid.",O=C(O)[C@H](O)[C@@H](O)CO,O=C[C@H](O)[C@H](O)C[CH]CO,True,False,0.7835,0.6689,0.7072,0.5598,0.6538,0.2414,0.9091,0.3852
"The molecule is the conjugate base of (2R,3S)-2-hydroxy-3-methylpentanoic acid. It derives from a valerate. It is a conjugate base of a (2R,3S)-2-hydroxy-3-methylpentanoic acid.",CC[C@H](C)[C@@H](O)C(=O)[O-],CC[C@@H](C)[C@@H](O)C(=O)[O-],True,False,0.9649,0.9345,0.9014,0.8371,0.9655,1.0,1.0,1.0
The molecule is a 2-amino-3-oxobutanoic acid and a non-proteinogenic L-alpha-amino acid. It has a role as a human metabolite and a Saccharomyces cerevisiae metabolite. It is a conjugate acid of a L-2-amino-3-oxobutanoate. It is a tautomer of a L-2-amino-3-oxobutanoic acid zwitterion.,CC(=O)[C@H](N)C(=O)O,C[C@H](C=O)C(=O)O,True,False,0.7556,0.6047,0.6876,0.5049,0.6,0.3043,0.5263,0.2772
