prompt,gt_smiles,gen_smiles,valid,exact_match,bleu2,bleu4,atom_bleu2,atom_bleu4,lev_sim,morgan_sim,maccs_sim,rdk_sim
"The molecule is a pyrrolopyrimidine that is 7-methyl-7H-pyrrolo[2,3-d]pyrimidin-4-amine which has been substituted at position 5 by a 4-fluoro-2,3-dihydro-1H-indol-5-yl group, the nitrogen of which has been acylated by a (6-methylpyridin-2-yl)acetyl group. An orally bioavailable PERK inhibitor. It has a role as an EC 3.1.3.48 (protein-tyrosine-phosphatase) inhibitor, a PERK inhibitor and an antineoplastic agent. It is a pyrrolopyrimidine, a biaryl, a member of indoles, a member of methylpyridines, an organofluorine compound and a tertiary carboxamide.",Cc1cccc(CC(=O)N2CCc3c2ccc(-c2cn(C)c4ncnc(N)c24)c3F)n1,C=CC=CC,True,False,0.0007,0.0,0.0007,0.0,0.1132,0.0139,0.0175,0.0057
"The molecule is a pyrrolizidine alkaloid isolated from the plant species of the genus Senecio. It has a role as a plant metabolite. It is a lactone, a pyrrolizidine alkaloid and a tertiary alcohol. It derives from a senecionan. It is a conjugate base of a senecionine(1+).",C/C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,CC[C@H](C)C(=O)NC1[CH][C@@H]2[CH]C[CH]N(CC(C)C)C(=O)C[CH][C](C)N(C2)C(=O)[CH]C1,True,False,0.5487,0.365,0.4849,0.2169,0.3924,0.09,0.5075,0.1971
"The molecule is the malonate ester of a labdane diterpenoid. Isolated from the aerial parts of Stemodia foliosa, it exhibits antibacterial activity. It has a role as a metabolite and an antibacterial agent. It is a labdane diterpenoid, a cyclic ether and a malonate ester.",C=C[C@@]1(C)CC[C@@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3[C@@H](OC(=O)CC(=O)O)C[C@@]2(C)O1,C=CC(=O)OCC1[C@@H]2C(C)=C[C][C@@](C)(CC[C@@]1(C)OC(C)=O)OC(=O)C=C[C@H]1C(C)(C)[C@@H](O)CC[C@@]21C,True,False,0.7499,0.6248,0.661,0.4724,0.4433,0.1765,0.8261,0.5445
The molecule is a ribonucleoside 5'-monophosphate that is wyosine 5'-monophosphate substituted at position 7 by a 3-amino-3-carboxypropyl group. It derives from a guanosine. It is a tautomer of a 7-(3-amino-3-carboxypropyl)wyosine 5'-monophosphate zwitterion.,Cc1nc2n(C)c3c(ncn3[C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c(=O)n2c1CC[C@H](N)C(=O)O,[NH]C1C(=NCC(O)=NC=N)N([C@@H]2O[C@H](COP(=O)(O)OC(=O)[C@@H]3CCNC3=O)[C@H](O)[C@H]2N)C1O,True,False,0.7042,0.5726,0.6073,0.4067,0.4598,0.2301,0.7273,0.5414
"The molecule is a member of the class of ergot alkaloids that is known to act on serotonin and dopamine receptors. It has a role as an antiparkinson drug, a dopamine agonist and a serotonergic antagonist. It is an ergot alkaloid and a member of sulfamides. It derives from a hydride of an ergoline.",CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,CN1CCCNC2Cc3ccccc3[C]2CN2[CH]CCC(C1)N(Cc1c[nH]c3ccccc13)CC2,True,False,0.4713,0.2365,0.3921,0.2329,0.2542,0.1165,0.493,0.5459
"The molecule is a cytochalasan alkaloid found in Chaetomium globosum. It has a role as a Chaetomium metabolite. It is a cytochalasan alkaloid, a member of indoles and a macrocycle.",CC1=C(O)C(=O)[C@H]2CC(=O)[C@@]34C(O)=N[C@@H](Cc5c[nH]c6ccccc56)[C@@H]3C(C)=C(C)[C@@H](O)[C@@H]4/C=C/C[C@H](C)[C@H]12,C=C[C@H](C)[C@@H](C(=O)/C=C/C[C@@H](O)[C@H](C=O)N=C(O)[C@H](C)/C=C/[CH]C)c1c[nH]c2ccccc12,True,False,0.6322,0.5051,0.6048,0.3857,0.3966,0.1638,0.6552,0.4938
"The molecule is an indole alkaloid isolated from Tabernaemontana corymbosa, and has been shown to exhibit cytotoxicity against human KB cells. It has a role as a metabolite and an antineoplastic agent. It is an alkaloid ester, an aromatic ether, an indole alkaloid, a member of phenols, a methyl ester and an organic heterohexacyclic compound.",COC(=O)C1=C2Nc3cc(OC)c(O)cc3[C@@]23CCN2CC[C@@H]4OCC[C@]4(C1)[C@H]23,COc1cc(OC)c2c(c1)[C@H](c1ccccc1)N1C[C@@H]3[CH]COc4cccc3c4C[C@H](c3ccccc3)[C](O1)C2=O,True,False,0.5148,0.3291,0.4156,0.2095,0.2857,0.1351,0.52,0.655
"The molecule is a pentahydroxyflavone that is flavone substituted by hydroxy groups at positions 3, 7, 3, 4' and 5'. It has a role as a plant metabolite. It is a pentahydroxyflavone and a 7-hydroxyflavonol.",O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)ccc12,O=Cc1cc(-c2ccc(O)c(O)c2)oc1-c1ccc(O)c(O)c1,True,False,0.8421,0.7208,0.8421,0.7208,0.619,0.2653,0.8065,0.3798
"The molecule is an N-sulfonylurea that is glyburide in which the (5-chloro-2-methoxybenzoyl group is replaced by a (5-methylpyrazin-2-yl)carbonyl group. An oral hypoglycemic agent, it is used in the treatment of type 2 diabetes mellitus. It has a role as a hypoglycemic agent, an EC 2.7.1.33 (pantothenate kinase) inhibitor and an insulin secretagogue. It is a N-sulfonylurea, a member of pyrazines, an aromatic amide and a monocarboxylic acid amide.",Cc1cnc(C(O)=NCCc2ccc(S(=O)(=O)NC(O)=NC3CCCCC3)cc2)cn1,CNc1ccc(N=NC=CC=C([NH])C(=O)NC(O)=NC(O)=Nc2cccc(Cl)c2)cc1,True,False,0.6717,0.4914,0.7035,0.517,0.4912,0.11,0.4146,0.1973
"The molecule is an organic heterooctacyclic compound that is 1H,1'H-2,2'-biindole in which the nitrogens have undergone formal oxidative coupling to positions 2 and 5 of hexyl (3S)-3-hydroxy-2-methyltetrahydrofuran-3-carboxylate (the 2R,3S,5S product), and in which the 3 and 3' positions of the biindole moiety have also undergone formal oxidative coupling to positions 3 and 4 of 1,5-dihydro-2H-pyrrol-2-one. It has a role as an EC 2.7.11.11 (cAMP-dependent protein kinase) inhibitor. It is an organic heterooctacyclic compound, a gamma-lactam, a tertiary alcohol, a carboxylic ester, a hemiaminal, a semisynthetic derivative and an indolocarbazole. It derives from a K-252a.",CCCCCCOC(=O)[C@]1(O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(O)=NC4,CCCCCCCCCCCCCCCC(=O)NCCN1C=C(c2ccccc2)N2CC(C)c3ccc(c1c3)C=C(CC)c1ccccc12,True,False,0.4953,0.2996,0.5379,0.33,0.3125,0.1681,0.5375,0.5407
"The molecule is a member if the class of chalcones that is trans-chalcone substituted by a prenyl group at position 5', a hydroxy group at position 2' and methoxy groups at positions 4' and 4 respectively. It has a role as a plant metabolite. It is a member of chalcones, a member of phenols and an aromatic ether.",COc1ccc(/C=C/C(=O)c2cc(CC=C(C)C)c(OC)cc2O)cc1,C=CC(O)C(=CC(O)=CC(=O)/C=C/CC=COC)OC,True,False,0.4969,0.2992,0.4969,0.2992,0.3111,0.1351,0.5,0.1198
The molecule is a limonene monoterpenoid that consists of cyclohexanone bearing hydroxy and methyl substituents at position 2 as well as an isopropenyl substituent at position 5. It is a limonene monoterpenoid and a tertiary alpha-hydroxy ketone.,C=C(C)C1CCC(C)(O)C(=O)C1,CC1=C[C@H]2C(C1)CC(C)(C)C2(C)C,True,False,0.6017,0.3403,0.6961,0.396,0.5,0.1591,0.3429,0.2147
"The molecule is a methyl ester resulting from the formal condensation of the carboxy group of thifensulfuron with methanol. It is used as a post-emergence herbicide for the control of grass and broad-leaved weeds. It has a role as an environmental contaminant, a xenobiotic, a herbicide and an agrochemical. It is a N-sulfonylurea, a member of thiophenes, a member of 1,3,5-triazines and a methyl ester. It derives from a thifensulfuron.",COC(=O)c1sccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1,COS(=O)(=O)c1ccc(NS(=O)(=O)NC=NCC(C)=C(S)N=C(C)C)cc1SC,True,False,0.6205,0.4352,0.6205,0.4352,0.4815,0.1413,0.5568,0.2884
"The molecule is a member of the class of pyrazoles that is 1H-pyrazole that is substituted at positions 1, 3, 4, and 5 by 2,6-dichloro-4-(trifluoromethyl)phenyl, cyano, (trifluoromethyl)sulfonyl, and amino groups, respectively. It is a metabolite of the agrochemical fipronil. It has a role as a marine xenobiotic metabolite. It is a member of pyrazoles, a dichlorobenzene, a nitrile, a member of (trifluoromethyl)benzenes and a sulfone.",N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F,O=C(NC(C=CC(F)(F)F)=CC=CS(=O)(=O)O)C(F)(F)F,True,False,0.4977,0.426,0.5054,0.4393,0.5088,0.0857,0.338,0.1615
The molecule is a cinnamate ester obtained by formal condensation of the carboxy group of trans-caffeic acid with the 3-hydroxy group of quinic acid. It is an intermediate metabolite in the biosynthesis of lignin. It has a role as a plant metabolite and a food component. It is a cinnamate ester and a tannin. It derives from a (-)-quinic acid and a trans-caffeic acid. It is a conjugate acid of a chlorogenate.,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,C=O,True,False,0.0,0.0,0.0,0.0,0.0462,0.0213,0.0588,0.0031
The molecule is a glycosylarabinose consisting of beta-D-glucopyranose and alpha-L-arabinopyranose residues joined in sequence by a (1->4) glycosidic bond. It derives from a beta-D-glucose and an alpha-L-arabinopyranose.,OC[C@H]1O[C@@H](O[C@H]2CO[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,[CH][C@@H](O)[C@@H](O)[C@H](O[CH]CO)O[C@@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,True,False,0.8731,0.7866,0.7356,0.5801,0.7625,0.283,0.8438,0.6268
"The molecule is a retinoic acid in which the exocyclic double bonds have 7E,9Z,11E,13E geometry. It has a role as an antineoplastic agent, a retinoid X receptor agonist, a metabolite and a keratolytic drug. It is a conjugate acid of a 9-cis-retinoate.",CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,C/C=C(\C)CCC=C(C)C,True,False,0.1937,0.1329,0.1937,0.1329,0.3617,0.0769,0.48,0.1618
The molecule is a penicillenic acid having a benzyl substituent at the 2-position on the oxazolone ring. It has a role as an allergen. It is a conjugate acid of a benzylpenicillenate.,CC(C)(S)[C@@H](N=Cc1nc(Cc2ccccc2)oc1O)C(=O)O,O=C(O)C[CH]Cc1ccccc1,True,False,0.2491,0.1165,0.2205,0.1149,0.3409,0.2593,0.24,0.1266
"The molecule is a member of the class of benzoic acids that is benzoic acid in which the hydrogens at positions 2, 3 and 5 are replaced by iodine atoms. It is an auxin polar transport inhibitor. It has a role as a member of antiauxins. It is an organoiodine compound and a member of benzoic acids.",O=C(O)c1cc(I)cc(I)c1I,O=C(O)C1=CC=C(I)C(Br)C(I)=C1,True,False,0.4082,0.2606,0.4237,0.2709,0.4643,0.2432,0.6,0.1102
"The molecule is a thujane monoterpenoid in which which a (1R,4S,5S)-thujane skeleton is substituted at C-3 with a hydroxy group, with the new asymmetric centre at C-3 having R-configuration. It is a thujane monoterpenoid and a secondary alcohol.",CC(C)[C@@]12C[C@@H](O)[C@@H](C)[C@@H]1C2,C[C]1C2C[CH][C@@H](O)[C@@H]1[C@@H]2[C@H]1[CH][C@](C)(O)C(C)(C)[C@@H]1CC[C@@H]1[CH]O1,True,False,0.4607,0.3974,0.4417,0.2981,0.4048,0.1167,0.5789,0.636
"The molecule is an aromatic amide that is phenazine substituted at C-1 with a carbamoyl group. It is a member of phenazines, an aromatic amide and a monocarboxylic acid amide.",N=C(O)c1cccc2nc3ccccc3nc12,N=C1C=CC=CC2C=C(c3ccc4c2ncnc4c3)C(C(=O)c2ccccc2)O1,True,False,0.4371,0.2794,0.4371,0.2794,0.34,0.1618,0.6,0.258
"The molecule is a member of the class of 1,4-benzoquinones that is p-benzoquinone in which the hydrogens at positions 2 and 5 are replaced by aziridin-1-yl groups. It has a role as a mutagen and an alkylating agent. It is a member of 1,4-benzoquinones and a member of aziridines.",O=C1C=C(N2CC2)C(=O)C=C1N1CC1,C=C(CCCC1=CC=CC(=O)C1)C(=O)C=C(C)C(=O)CCCCC,True,False,0.4415,0.302,0.4415,0.302,0.4419,0.1071,0.2653,0.1914
"The molecule is a racemate comprising equimolar amounts of (R)-(+)- and (S)-(-)-5-benzoyl-2,3-dihydro-1H-pyrrolizine-1-carboxylic acid. While only the (S)-(-) enantiomer is a COX1 and COX2 inhibitor, the (R)-(+) enantiomer exhibits potent analgesic activity. A non-steroidal anti-inflammatory drug, ketorolac is mainly used (generally as the tromethamine salt) for its potent analgesic properties in the short-term management of post-operative pain, and in eye drops to relieve the ocular itching associated with seasonal allergic conjunctivitis. It was withdrawn from the market in many countries in 1993 following association with haemorrhage and renal failure. It has a role as a cyclooxygenase 2 inhibitor, a cyclooxygenase 1 inhibitor, a non-steroidal anti-inflammatory drug and an analgesic. It contains a (R)-ketorolac and a (S)-ketorolac. It is a conjugate acid of a ketorolac(1-).",O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,O=C(O)[CH]CCN1C[CH]c2cccc(c2)C[C@@H](c2ccccc2-c2ccccc2)C1=O,True,False,0.3503,0.1811,0.4315,0.224,0.3051,0.1622,0.6,0.3145
"The molecule is a cinchona alkaloid that is cinchonidine in which the hydrogen at the 6-position of the quinoline ring is substituted by methoxy. It has a role as an antimalarial, a muscle relaxant and a non-narcotic analgesic. It is a conjugate base of a quinine(1+). It derives from a hydride of an (8S)-cinchonan.",C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,CC[CH]CN[CH]CC12C[C@H]1[C@H]2NCc1ccccc1-c1ccccc1,True,False,0.6312,0.3811,0.5113,0.1823,0.566,0.0745,0.322,0.2666
The molecule is a monohydroxyflavone a that is flavone substituted by a hydroxy group at position 6 and a methoxy group at position 2'. It is a monomethoxyflavone and a monohydroxyflavone. It derives from a flavone.,COc1ccccc1-c1cc(=O)c2cc(O)ccc2o1,COC=CC=CC=Cc1cc(=O)c2ccccc2o1,True,False,0.6004,0.553,0.6004,0.553,0.625,0.3214,0.7931,0.3437
The molecule is the L-enantiomer of 4-methyleneglutamic acid. It is a non-proteinogenic L-alpha-amino acid and a 4-methyleneglutamic acid. It is a conjugate acid of a 4-methylene-L-glutamate(1-). It is an enantiomer of a 4-methylene-D-glutamic acid.,C=C(C[C@H](N)C(=O)O)C(=O)O,C[C@@H](C=O)OC(=O)[C@H](N)CC(=O)O,True,False,0.736,0.59,0.8231,0.5994,0.4848,0.2703,0.5938,0.2087
"The molecule is a monocarboxylic acid anion that is the conjugate base of N-isovalerylglycine, obtained by deprotonation of the carboxy group; major species at pH 7.3. It has a role as a human urinary metabolite. It is a N-acylglycinate and a monocarboxylic acid anion. It is a conjugate base of a N-isovalerylglycine.",CC(C)CC([O-])=NCC(=O)O,CC(C)CC(N)CC(=O)[O-],True,False,0.804,0.6574,0.7699,0.65,0.5909,0.3333,0.5312,0.1759
"The molecule is the L-enantiomer of threonic acid. It has a role as a plant metabolite, a Daphnia magna metabolite and an algal metabolite. It is a conjugate acid of a L-threonate. It is an enantiomer of a D-threonic acid.",O=C(O)[C@H](O)[C@@H](O)CO,O=C[C@H](O)[C@H](O)C[CH]CO,True,False,0.7835,0.6689,0.7072,0.5598,0.6538,0.2414,0.9091,0.3852
"The molecule is the conjugate base of (2R,3S)-2-hydroxy-3-methylpentanoic acid. It derives from a valerate. It is a conjugate base of a (2R,3S)-2-hydroxy-3-methylpentanoic acid.",CC[C@H](C)[C@@H](O)C(=O)[O-],CC[C@@H](C)[C@@H](O)C(=O)[O-],True,False,0.9649,0.9345,0.9014,0.8371,0.9655,1.0,1.0,1.0
The molecule is a 2-amino-3-oxobutanoic acid and a non-proteinogenic L-alpha-amino acid. It has a role as a human metabolite and a Saccharomyces cerevisiae metabolite. It is a conjugate acid of a L-2-amino-3-oxobutanoate. It is a tautomer of a L-2-amino-3-oxobutanoic acid zwitterion.,CC(=O)[C@H](N)C(=O)O,C[C@H](C=O)C(=O)O,True,False,0.7556,0.6047,0.6876,0.5049,0.6,0.3043,0.5263,0.2772
